Pos,fpl_id,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,Elite%
F,1,Balogun,4.5,4.5,Arsenal,4,5,5,7,8,8,9,9,9,10,10,9,0.01
D,2,Cédric,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,3,M.Elneny,4.5,4.5,Arsenal,0,0,0,0,0,0,0,1,1,1,2,1,0.0
M,4,Fábio Vieira,5.5,5.5,Arsenal,7,11,12,12,14,13,16,16,16,17,15,17,0.0
D,5,Gabriel,5.0,5.0,Arsenal,88,85,81,81,80,79,78,78,78,77,75,77,0.24
M,6,Havertz,7.5,7.5,Arsenal,61,60,62,59,59,59,58,56,57,58,58,59,0.05
D,7,Holding,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,8,G.Jesus,8.0,8.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.14
M,9,Jorginho,5.5,5.5,Arsenal,13,15,15,18,18,19,21,20,22,23,20,22,0.0
D,10,Kiwior,4.5,4.5,Arsenal,17,12,13,13,15,16,18,18,19,17,19,19,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,8.0,8.0,Arsenal,77,74,73,70,70,71,69,67,68,68,67,68,0.14
F,13,Nketiah,5.5,5.5,Arsenal,30,32,32,35,33,34,36,36,36,33,32,33,0.03
M,14,Ødegaard,8.5,8.5,Arsenal,87,86,84,84,83,81,78,81,80,80,81,78,0.21
M,15,Thomas,5.0,5.0,Arsenal,68,66,63,63,63,59,59,61,57,57,58,60,0.0
M,16,Pepe,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,5.0,5.0,Arsenal,65,59,62,58,56,55,52,53,55,55,55,54,0.2
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,8.5,8.5,Arsenal,88,86,83,82,81,81,82,81,80,79,82,79,0.56
D,20,Saliba,5.0,5.0,Arsenal,89,87,83,83,82,81,80,79,77,80,77,76,0.15
M,21,Sambi,5.0,5.0,Arsenal,0,0,0,0,0,0,1,0,0,1,1,1,0.0
M,22,Smith Rowe,5.5,5.5,Arsenal,13,14,18,17,19,20,20,19,21,21,21,21,0.0
D,23,Tavares,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,24,Tierney,4.5,4.5,Arsenal,15,10,8,7,8,8,8,9,9,9,10,10,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,18,14,11,14,14,18,18,18,18,18,21,19,0.0
M,26,Trossard,7.0,7.0,Arsenal,62,58,58,56,56,55,54,53,53,54,54,54,0.05
