unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-10-27,4,1,12,10,0.0
2023-10-28,5,2,12,10,1.0
2023-10-29,6,3,12,10,2.0
2023-11-04,5,4,13,11,8.0
2023-11-05,6,5,13,11,9.0
2023-11-06,0,6,13,11,10.0
2023-11-11,5,7,14,12,15.0
2023-11-12,6,8,14,12,16.0
2023-11-25,5,9,16,13,29.0
2023-11-26,6,10,16,13,30.0
2023-11-27,0,11,16,13,31.0
2023-12-02,5,12,17,14,36.0
2023-12-03,6,13,17,14,37.0
2023-12-05,1,14,17,15,39.0
2023-12-06,2,15,17,15,40.0
2023-12-07,3,16,17,15,41.0
2023-12-09,5,17,18,16,43.0
2023-12-10,6,18,18,16,44.0
2023-12-15,4,19,19,17,49.0
2023-12-16,5,20,19,17,50.0
2023-12-17,6,21,19,17,51.0
2023-12-21,3,22,19,17,55.0
2023-12-22,4,23,20,18,56.0
2023-12-23,5,24,20,18,57.0
2023-12-24,6,25,20,18,58.0
2023-12-26,1,26,20,19,60.0
2023-12-27,2,27,20,19,61.0
2023-12-28,3,28,20,19,62.0
2023-12-30,5,29,21,20,64.0
2023-12-31,6,30,21,20,65.0
2024-01-01,0,31,21,20,66.0
2024-01-02,1,32,21,20,67.0
2024-01-13,5,33,23,21,78.0
2024-01-14,6,34,23,21,79.0
2024-01-15,0,35,23,21,80.0
2024-01-20,5,36,24,21,85.0
2024-01-21,6,37,24,21,86.0
2024-01-22,0,38,24,21,87.0
2024-01-30,1,39,25,22,95.0
2024-01-31,2,40,25,22,96.0
2024-02-03,5,41,26,23,99.0
2024-02-10,5,42,27,24,106.0
2024-02-17,5,43,28,25,113.0
2024-02-24,5,44,29,26,120.0
2024-03-02,5,45,30,27,127.0
2024-03-09,5,46,31,28,134.0
2024-03-16,5,47,32,29,141.0
2024-03-30,5,48,34,30,155.0
2024-04-02,1,49,34,31,158.0
2024-04-03,2,50,34,31,159.0
2024-04-06,5,51,35,32,162.0
2024-04-13,5,52,36,33,169.0
2024-04-20,5,53,37,34,176.0
2024-04-27,5,54,38,35,183.0
2024-05-04,5,55,39,36,190.0
2024-05-11,5,56,40,37,197.0
2024-05-19,6,57,41,38,205.0
