unique_dates,weekday,matchday,fpl_gw,days_elapsed
2024-02-12,0,1,24,0.0
2024-02-17,5,2,25,5.0
2024-02-18,6,3,25,6.0
2024-02-19,0,4,25,7.0
2024-02-20,1,5,25,8.0
2024-02-21,2,6,25,9.0
2024-02-24,5,7,26,12.0
2024-02-25,6,8,26,13.0
2024-02-26,0,9,26,14.0
2024-03-02,5,10,27,19.0
2024-03-03,6,11,27,20.0
2024-03-04,0,12,27,21.0
2024-03-09,5,13,28,26.0
2024-03-10,6,14,28,27.0
2024-03-11,0,15,28,28.0
2024-03-13,2,16,28,30.0
2024-03-16,5,17,29,33.0
2024-03-17,6,18,29,34.0
2024-03-30,5,19,30,47.0
2024-03-31,6,20,30,48.0
2024-04-02,1,21,31,50.0
2024-04-03,2,22,31,51.0
2024-04-06,5,23,32,54.0
2024-04-13,5,24,33,61.0
2024-04-20,5,25,34,68.0
2024-04-23,1,26,34,71.0
2024-04-27,5,27,35,75.0
2024-04-30,1,28,35,78.0
2024-05-04,5,29,36,82.0
2024-05-07,1,30,36,85.0
2024-05-11,5,31,37,89.0
2024-05-14,1,32,37,92.0
2024-05-19,6,33,38,97.0
