,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,Total_Pts
139,890,Mathias Jensen,BRE,MID,7.6,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,2.82,0.0,2.54,0.0,0.0,0.0,7.94
140,1326,Aaron Hickey,BRE,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,538,Ben Davies,TOT,DEF,7.8,3.27,4.69,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,2.6,0.0,4.83,0.0,0.0,20.82
142,1545,Matheus Cunha,WOL,FOR,7.2,0.0,0.0,0.0,3.47,0.0,0.0,0.0,3.58,0.0,3.09,0.0,3.52,0.0,0.0,0.0,13.66
143,1437,Lucas Paquetá,WHU,MID,8.0,3.15,0.0,0.0,3.75,0.0,0.0,3.3,0.0,0.0,0.0,2.71,0.0,0.0,0.0,3.11,16.02
144,734,Saïd Benrahma,WHU,MID,7.9,1.08,0.0,0.0,1.31,0.0,0.0,1.25,0.0,0.0,0.0,0.98,0.0,0.0,0.0,1.22,5.84
145,1215,Alejandro Garnacho,MUN,MID,7.5,0.0,0.0,0.0,2.41,0.0,0.0,2.77,0.0,2.92,0.0,0.0,2.67,0.0,0.0,0.0,10.77
146,1269,João Palhinha,FUL,MID,7.9,5.24,0.0,4.32,0.0,0.0,0.0,4.13,0.0,4.59,0.0,0.0,0.0,3.97,0.0,0.0,22.25
147,1069,Leon Bailey,AVL,MID,7.8,0.0,0.0,0.0,1.58,0.0,2.13,0.0,0.0,1.53,0.0,0.0,1.99,0.0,0.0,0.0,7.23
148,430,Andreas Pereira,FUL,MID,7.9,3.56,0.0,2.74,0.0,0.0,0.0,3.43,0.0,3.26,0.0,0.0,0.0,2.85,0.0,0.0,15.84
149,209,Dominic Calvert-Lewin,EVE,FOR,7.9,3.92,0.0,3.78,0.0,0.0,0.0,3.56,0.0,0.0,2.8,0.0,3.71,0.0,0.0,0.0,17.77
150,531,Pierre Højbjerg,TOT,MID,8.1,1.2,1.15,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,1.28,0.0,1.6,0.0,0.0,6.800000000000001
151,715,Vladimír Coufal,WHU,DEF,7.4,3.0,0.0,0.0,4.54,0.0,0.0,3.05,0.0,0.0,0.0,1.65,0.0,0.0,0.0,2.73,14.97
152,1227,Philip Billing,BOU,MID,7.8,0.0,0.0,2.64,0.0,0.0,0.0,2.07,0.0,2.41,0.0,0.0,0.0,2.14,0.0,0.0,9.26
153,71,Jason Steele,BHA,GK,7.0,0.0,0.0,0.0,2.44,3.34,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,3.03,11.739999999999998
154,634,Willy Boly,FOR,DEF,6.8,0.0,0.54,0.0,0.0,0.0,0.0,0.68,0.0,0.46,0.0,0.0,0.6,0.0,0.0,0.0,2.2800000000000002
155,649,Abdoulaye Doucouré,EVE,MID,7.3,3.4,0.0,3.4,0.0,0.0,0.0,3.23,0.0,0.0,2.66,0.0,3.58,0.0,0.0,0.0,16.27
156,1689,Christopher Nkunku,CHE,FOR,9.4,0.0,0.0,0.61,0.0,0.0,0.0,0.0,2.45,0.0,3.53,0.0,4.01,0.0,0.0,0.0,10.6
157,222,Alex Iwobi,FUL,MID,7.8,3.32,0.0,2.52,0.0,0.0,0.0,2.95,0.0,2.89,0.0,0.0,0.0,2.6,0.0,0.0,14.28
158,1256,Jan Paul van Hecke,BHA,DEF,6.7,0.0,0.0,0.0,2.48,4.94,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,3.89,14.11
159,335,Youri Tielemans,AVL,MID,8.1,0.0,0.0,0.0,1.91,0.0,2.27,0.0,0.0,1.82,0.0,0.0,1.91,0.0,0.0,0.0,7.91
160,1910,Micky van de Ven,TOT,DEF,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1408,Matheus Nunes,MCI,MID,7.6,0.59,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.87,0.0,0.0,0.0,3.27
162,3182,Mykhailo Mudryk,CHE,MID,8.2,2.81,0.0,3.04,0.0,0.0,0.0,0.0,1.98,0.0,1.76,0.0,1.7,0.0,0.0,0.0,11.29
