unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-11-26,6,1,16,13,0.0
2023-11-27,0,2,16,13,1.0
2023-12-02,5,3,17,14,6.0
2023-12-03,6,4,17,14,7.0
2023-12-05,1,5,17,15,9.0
2023-12-06,2,6,17,15,10.0
2023-12-07,3,7,17,15,11.0
2023-12-09,5,8,18,16,13.0
2023-12-10,6,9,18,16,14.0
2023-12-15,4,10,19,17,19.0
2023-12-16,5,11,19,17,20.0
2023-12-17,6,12,19,17,21.0
2023-12-21,3,13,19,17,25.0
2023-12-22,4,14,20,18,26.0
2023-12-23,5,15,20,18,27.0
2023-12-24,6,16,20,18,28.0
2023-12-26,1,17,20,19,30.0
2023-12-27,2,18,20,19,31.0
2023-12-28,3,19,20,19,32.0
2023-12-30,5,20,21,20,34.0
2023-12-31,6,21,21,20,35.0
2024-01-01,0,22,21,20,36.0
2024-01-02,1,23,21,20,37.0
2024-01-13,5,24,23,21,48.0
2024-01-14,6,25,23,21,49.0
2024-01-15,0,26,23,21,50.0
2024-01-20,5,27,24,21,55.0
2024-01-21,6,28,24,21,56.0
2024-01-22,0,29,24,21,57.0
2024-01-30,1,30,25,22,65.0
2024-01-31,2,31,25,22,66.0
2024-02-03,5,32,26,23,69.0
2024-02-10,5,33,27,24,76.0
2024-02-17,5,34,28,25,83.0
2024-02-24,5,35,29,26,90.0
2024-03-02,5,36,30,27,97.0
2024-03-09,5,37,31,28,104.0
2024-03-16,5,38,32,29,111.0
2024-03-30,5,39,34,30,125.0
2024-04-02,1,40,34,31,128.0
2024-04-03,2,41,34,31,129.0
2024-04-06,5,42,35,32,132.0
2024-04-13,5,43,36,33,139.0
2024-04-20,5,44,37,34,146.0
2024-04-27,5,45,38,35,153.0
2024-05-04,5,46,39,36,160.0
2024-05-11,5,47,40,37,167.0
2024-05-19,6,48,41,38,175.0
