,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,6.42,7.99,0.0,0.0,0.0,0.0,6.86,9.83,0.0,0.0,0.0,6.64,7.75,8.56,6.73,0.0,7.82,7.91,0.0,85.21000000000001
1,21,Bukayo Saka,ARS,MID,10.4,0.0,6.42,5.7,0.0,0.0,0.0,0.0,4.0,4.51,0.0,0.0,0.0,6.33,0.0,4.04,0.0,0.0,5.68,0.0,4.49,6.05,5.07,0.0,4.34,5.2,4.19,66.02
2,351,Mohamed Salah,LIV,MID,11.5,0.0,8.4,6.27,0.0,0.0,0.0,0.0,6.06,7.78,0.0,0.0,0.0,0.0,7.52,0.0,6.43,0.0,0.0,6.76,4.31,7.58,6.77,0.0,5.73,6.67,5.92,86.2
3,13,William Saliba,ARS,DEF,9.0,0.0,5.32,5.51,0.0,0.0,0.0,0.0,3.53,3.39,0.0,0.0,0.0,6.53,0.0,3.37,0.0,0.0,5.78,0.0,4.52,5.96,6.0,0.0,4.2,4.17,3.14,61.42000000000001
4,398,Rodri,MCI,MID,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,0.0,5.55,6.7,0.0,0.0,0.0,5.04,5.68,6.11,5.57,0.0,6.13,6.2,0.0,52.49
5,1175,Kieran Trippier,NEW,DEF,9.1,0.0,6.79,6.83,0.0,0.0,0.0,0.0,5.7,6.76,0.0,0.0,0.0,5.45,0.0,4.03,0.0,0.0,5.7,0.0,4.99,5.42,5.72,0.0,4.22,6.32,6.49,74.42
6,417,Marcus Rashford,MUN,MID,10.9,6.36,0.0,6.89,0.0,0.0,0.0,7.01,0.0,6.32,0.0,0.0,0.0,0.0,4.86,6.23,0.0,0.0,7.2,0.0,5.98,4.64,0.0,6.52,8.29,5.16,6.17,81.63000000000001
7,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,6.18,3.78,0.0,0.0,0.0,0.0,3.32,1.41,0.0,0.0,0.0,0.0,4.71,4.57,0.0,0.0,0.0,6.13,5.14,2.74,4.21,0.0,4.83,2.04,4.32,53.379999999999995
8,1435,Alexander Isak,NEW,FOR,9.0,0.0,3.92,4.53,0.0,0.0,0.0,0.0,3.72,3.99,0.0,0.0,0.0,3.68,0.0,3.63,0.0,0.0,3.76,0.0,4.01,4.13,3.54,0.0,3.39,4.64,3.53,50.47
9,373,Ederson,MCI,GK,7.8,0.0,0.0,5.85,0.0,0.0,0.0,0.0,4.1,5.31,0.0,0.0,0.0,0.0,4.69,6.17,0.0,0.0,0.0,4.48,4.52,5.11,4.88,0.0,6.42,6.07,0.0,57.6
