unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-01-13,5,1,23,21,0.0
2024-01-14,6,2,23,21,1.0
2024-01-15,0,3,23,21,2.0
2024-01-20,5,4,24,21,7.0
2024-01-21,6,5,24,21,8.0
2024-01-22,0,6,24,21,9.0
2024-01-30,1,7,25,22,17.0
2024-01-31,2,8,25,22,18.0
2024-02-01,3,9,25,22,19.0
2024-02-03,5,10,26,23,21.0
2024-02-04,6,11,26,23,22.0
2024-02-05,0,12,26,23,23.0
2024-02-10,5,13,27,24,28.0
2024-02-11,6,14,27,24,29.0
2024-02-12,0,15,27,24,30.0
2024-02-17,5,16,28,25,35.0
2024-02-18,6,17,28,25,36.0
2024-02-19,0,18,28,25,37.0
2024-02-23,4,19,29,26,41.0
2024-02-24,5,20,29,26,42.0
2024-02-25,6,21,29,26,43.0
2024-02-26,0,22,29,26,44.0
2024-03-02,5,23,30,27,49.0
2024-03-09,5,24,31,28,56.0
2024-03-16,5,25,32,29,63.0
2024-03-30,5,26,34,30,77.0
2024-04-02,1,27,34,31,80.0
2024-04-03,2,28,34,31,81.0
2024-04-06,5,29,35,32,84.0
2024-04-13,5,30,36,33,91.0
2024-04-20,5,31,37,34,98.0
2024-04-27,5,32,38,35,105.0
2024-05-04,5,33,39,36,112.0
2024-05-11,5,34,40,37,119.0
2024-05-19,6,35,41,38,127.0
