unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-12-05,1,1,17,15,0.0
2023-12-06,2,2,17,15,1.0
2023-12-07,3,3,17,15,2.0
2023-12-09,5,4,18,16,4.0
2023-12-10,6,5,18,16,5.0
2023-12-15,4,6,19,17,10.0
2023-12-16,5,7,19,17,11.0
2023-12-17,6,8,19,17,12.0
2023-12-21,3,9,19,17,16.0
2023-12-22,4,10,20,18,17.0
2023-12-23,5,11,20,18,18.0
2023-12-24,6,12,20,18,19.0
2023-12-26,1,13,20,19,21.0
2023-12-27,2,14,20,19,22.0
2023-12-28,3,15,20,19,23.0
2023-12-30,5,16,21,20,25.0
2023-12-31,6,17,21,20,26.0
2024-01-01,0,18,21,20,27.0
2024-01-02,1,19,21,20,28.0
2024-01-13,5,20,23,21,39.0
2024-01-14,6,21,23,21,40.0
2024-01-15,0,22,23,21,41.0
2024-01-20,5,23,24,21,46.0
2024-01-21,6,24,24,21,47.0
2024-01-22,0,25,24,21,48.0
2024-01-30,1,26,25,22,56.0
2024-01-31,2,27,25,22,57.0
2024-02-03,5,28,26,23,60.0
2024-02-10,5,29,27,24,67.0
2024-02-17,5,30,28,25,74.0
2024-02-24,5,31,29,26,81.0
2024-03-02,5,32,30,27,88.0
2024-03-09,5,33,31,28,95.0
2024-03-16,5,34,32,29,102.0
2024-03-30,5,35,34,30,116.0
2024-04-02,1,36,34,31,119.0
2024-04-03,2,37,34,31,120.0
2024-04-06,5,38,35,32,123.0
2024-04-13,5,39,36,33,130.0
2024-04-20,5,40,37,34,137.0
2024-04-27,5,41,38,35,144.0
2024-05-04,5,42,39,36,151.0
2024-05-11,5,43,40,37,158.0
2024-05-19,6,44,41,38,166.0
