unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-10-07,5,1,9,8,0.0
2023-10-08,6,2,9,8,1.0
2023-10-21,5,3,11,9,14.0
2023-10-22,6,4,11,9,15.0
2023-10-23,0,5,11,9,16.0
2023-10-27,4,6,12,10,20.0
2023-10-28,5,7,12,10,21.0
2023-10-29,6,8,12,10,22.0
2023-11-04,5,9,13,11,28.0
2023-11-05,6,10,13,11,29.0
2023-11-06,0,11,13,11,30.0
2023-11-11,5,12,14,12,35.0
2023-11-12,6,13,14,12,36.0
2023-11-25,5,14,16,13,49.0
2023-11-26,6,15,16,13,50.0
2023-12-02,5,16,17,14,56.0
2023-12-05,1,17,17,15,59.0
2023-12-06,2,18,17,15,60.0
2023-12-09,5,19,18,16,63.0
2023-12-11,0,20,18,16,65.0
2023-12-16,5,21,19,17,70.0
2023-12-23,5,22,20,18,77.0
2023-12-26,1,23,20,19,80.0
2023-12-30,5,24,21,20,84.0
2024-01-13,5,25,23,21,98.0
2024-01-30,1,26,25,22,115.0
2024-01-31,2,27,25,22,116.0
2024-02-03,5,28,26,23,119.0
2024-02-10,5,29,27,24,126.0
2024-02-17,5,30,28,25,133.0
2024-02-24,5,31,29,26,140.0
2024-03-02,5,32,30,27,147.0
2024-03-09,5,33,31,28,154.0
2024-03-16,5,34,32,29,161.0
2024-03-30,5,35,34,30,175.0
2024-04-02,1,36,34,31,178.0
2024-04-03,2,37,34,31,179.0
2024-04-06,5,38,35,32,182.0
2024-04-13,5,39,36,33,189.0
2024-04-20,5,40,37,34,196.0
2024-04-27,5,41,38,35,203.0
2024-05-04,5,42,39,36,210.0
2024-05-11,5,43,40,37,217.0
2024-05-19,6,44,41,38,225.0
