unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-08-25,4,1,3,3,0.0
2023-08-26,5,2,3,3,1.0
2023-08-27,6,3,3,3,2.0
2023-09-01,4,4,4,4,7.0
2023-09-02,5,5,4,4,8.0
2023-09-03,6,6,4,4,9.0
2023-09-16,5,7,6,5,22.0
2023-09-17,6,8,6,5,23.0
2023-09-18,0,9,6,5,24.0
2023-09-23,5,10,7,6,29.0
2023-09-24,6,11,7,6,30.0
2023-09-30,5,12,8,7,36.0
2023-10-01,6,13,8,7,37.0
2023-10-02,0,14,8,7,38.0
2023-10-07,5,15,9,8,43.0
2023-10-08,6,16,9,8,44.0
2023-10-21,5,17,11,9,57.0
2023-10-22,6,18,11,9,58.0
2023-10-23,0,19,11,9,59.0
2023-10-27,4,20,12,10,63.0
2023-10-28,5,21,12,10,64.0
2023-10-29,6,22,12,10,65.0
2023-11-04,5,23,13,11,71.0
2023-11-11,5,24,14,12,78.0
2023-11-25,5,25,16,13,92.0
2023-12-02,5,26,17,14,99.0
2023-12-05,1,27,17,15,102.0
2023-12-06,2,28,17,15,103.0
2023-12-09,5,29,18,16,106.0
2023-12-16,5,30,19,17,113.0
2023-12-23,5,31,20,18,120.0
2023-12-26,1,32,20,19,123.0
2023-12-30,5,33,21,20,127.0
2024-01-13,5,34,23,21,141.0
2024-01-30,1,35,25,22,158.0
2024-01-31,2,36,25,22,159.0
2024-02-03,5,37,26,23,162.0
2024-02-10,5,38,27,24,169.0
2024-02-17,5,39,28,25,176.0
2024-02-24,5,40,29,26,183.0
2024-03-02,5,41,30,27,190.0
2024-03-09,5,42,31,28,197.0
2024-03-16,5,43,32,29,204.0
2024-03-30,5,44,34,30,218.0
2024-04-02,1,45,34,31,221.0
2024-04-03,2,46,34,31,222.0
2024-04-06,5,47,35,32,225.0
2024-04-13,5,48,36,33,232.0
2024-04-20,5,49,37,34,239.0
2024-04-27,5,50,38,35,246.0
2024-05-04,5,51,39,36,253.0
2024-05-11,5,52,40,37,260.0
2024-05-19,6,53,41,38,268.0
