unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-02-25,6,1,29,26,0.0
2024-02-26,0,2,29,26,1.0
2024-03-02,5,3,30,27,6.0
2024-03-03,6,4,30,27,7.0
2024-03-04,0,5,30,27,8.0
2024-03-09,5,6,31,28,13.0
2024-03-10,6,7,31,28,14.0
2024-03-11,0,8,31,28,15.0
2024-03-13,2,9,31,28,17.0
2024-03-16,5,10,32,29,20.0
2024-03-17,6,11,32,29,21.0
2024-03-30,5,12,34,30,34.0
2024-03-31,6,13,34,30,35.0
2024-04-02,1,14,34,31,37.0
2024-04-03,2,15,34,31,38.0
2024-04-06,5,16,35,32,41.0
2024-04-13,5,17,36,33,48.0
2024-04-20,5,18,37,34,55.0
2024-04-23,1,19,37,34,58.0
2024-04-27,5,20,38,35,62.0
2024-04-30,1,21,38,35,65.0
2024-05-04,5,22,39,36,69.0
2024-05-07,1,23,39,36,72.0
2024-05-11,5,24,40,37,76.0
2024-05-14,1,25,40,37,79.0
2024-05-19,6,26,41,38,84.0
