unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-09-01,4,1,4,4,0.0
2023-09-02,5,2,4,4,1.0
2023-09-03,6,3,4,4,2.0
2023-09-16,5,4,6,5,15.0
2023-09-17,6,5,6,5,16.0
2023-09-18,0,6,6,5,17.0
2023-09-23,5,7,7,6,22.0
2023-09-24,6,8,7,6,23.0
2023-09-30,5,9,8,7,29.0
2023-10-01,6,10,8,7,30.0
2023-10-02,0,11,8,7,31.0
2023-10-07,5,12,9,8,36.0
2023-10-08,6,13,9,8,37.0
2023-10-21,5,14,11,9,50.0
2023-10-22,6,15,11,9,51.0
2023-10-23,0,16,11,9,52.0
2023-10-27,4,17,12,10,56.0
2023-10-28,5,18,12,10,57.0
2023-10-29,6,19,12,10,58.0
2023-11-04,5,20,13,11,64.0
2023-11-11,5,21,14,12,71.0
2023-11-25,5,22,16,13,85.0
2023-12-02,5,23,17,14,92.0
2023-12-05,1,24,17,15,95.0
2023-12-06,2,25,17,15,96.0
2023-12-09,5,26,18,16,99.0
2023-12-16,5,27,19,17,106.0
2023-12-23,5,28,20,18,113.0
2023-12-26,1,29,20,19,116.0
2023-12-30,5,30,21,20,120.0
2024-01-13,5,31,23,21,134.0
2024-01-30,1,32,25,22,151.0
2024-01-31,2,33,25,22,152.0
2024-02-03,5,34,26,23,155.0
2024-02-10,5,35,27,24,162.0
2024-02-17,5,36,28,25,169.0
2024-02-24,5,37,29,26,176.0
2024-03-02,5,38,30,27,183.0
2024-03-09,5,39,31,28,190.0
2024-03-16,5,40,32,29,197.0
2024-03-30,5,41,34,30,211.0
2024-04-02,1,42,34,31,214.0
2024-04-03,2,43,34,31,215.0
2024-04-06,5,44,35,32,218.0
2024-04-13,5,45,36,33,225.0
2024-04-20,5,46,37,34,232.0
2024-04-27,5,47,38,35,239.0
2024-05-04,5,48,39,36,246.0
2024-05-11,5,49,40,37,253.0
2024-05-19,6,50,41,38,261.0
