,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,9.23,0.0,0.0,0.0,0.0,6.66,8.45,0.0,0.0,0.0,0.0,7.19,10.05,0.0,0.0,0.0,6.9,7.89,8.73,6.98,0.0,8.19,7.96,0.0,0.0,0.0,88.22999999999999
1,21,Bukayo Saka,ARS,MID,10.4,4.29,0.0,0.0,0.0,0.0,3.85,4.36,0.0,0.0,0.0,5.92,0.0,3.87,0.0,0.0,5.17,0.0,4.23,5.56,4.6,0.0,4.07,4.73,3.99,5.46,4.49,64.59
2,351,Mohamed Salah,LIV,MID,11.5,6.41,0.0,0.0,0.0,0.0,5.97,7.69,0.0,0.0,0.0,0.0,7.44,0.0,6.3,0.0,0.0,6.83,4.38,7.48,6.78,0.0,5.61,6.5,5.82,6.18,5.71,89.10000000000001
3,13,William Saliba,ARS,DEF,9.0,5.34,0.0,0.0,0.0,0.0,3.62,3.29,0.0,0.0,0.0,6.56,0.0,3.4,0.0,0.0,5.44,0.0,4.47,6.18,5.63,0.0,4.0,4.1,3.0,5.78,4.68,65.49000000000001
4,1175,Kieran Trippier,NEW,DEF,9.1,7.11,0.0,0.0,0.0,0.0,5.92,6.96,0.0,0.0,0.0,5.94,0.0,4.16,0.0,0.0,5.6,0.0,5.04,5.81,5.94,0.0,4.13,6.5,6.5,7.29,3.54,80.44000000000003
5,1406,Pervis Estupiñán,BHA,DEF,8.1,3.6,0.0,0.0,0.0,0.0,3.2,1.53,0.0,0.0,0.0,0.0,4.83,4.47,0.0,0.0,0.0,5.87,4.63,2.74,4.08,0.0,4.54,2.02,3.97,3.39,3.96,52.83
6,417,Marcus Rashford,MUN,MID,10.9,7.05,0.0,0.0,0.0,7.25,0.0,6.59,0.0,0.0,0.0,0.0,4.84,6.17,0.0,0.0,7.35,0.0,6.07,4.69,0.0,6.7,8.18,5.03,5.99,6.4,6.02,88.33
7,373,Ederson,MCI,GK,7.8,5.93,0.0,0.0,0.0,0.0,4.05,5.19,0.0,0.0,0.0,0.0,4.67,5.87,0.0,0.0,0.0,4.45,4.38,4.92,4.77,0.0,6.06,6.04,0.0,0.0,0.0,56.330000000000005
8,1435,Alexander Isak,NEW,FOR,9.0,3.87,0.0,0.0,0.0,0.0,4.35,4.64,0.0,0.0,0.0,4.28,0.0,4.12,0.0,0.0,4.34,0.0,4.43,4.47,3.89,0.0,3.8,5.08,3.95,5.11,3.42,59.75
9,645,Ollie Watkins,AVL,FOR,9.3,6.02,0.0,0.0,0.0,0.0,5.58,0.0,6.6,0.0,0.0,0.0,6.32,0.0,5.25,0.0,0.0,6.58,4.78,5.47,4.28,0.0,5.11,4.68,6.9,4.53,6.21,78.31
