unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-03-02,5,1,30,27,0.0
2024-03-03,6,2,30,27,1.0
2024-03-04,0,3,30,27,2.0
2024-03-09,5,4,31,28,7.0
2024-03-10,6,5,31,28,8.0
2024-03-11,0,6,31,28,9.0
2024-03-13,2,7,31,28,11.0
2024-03-16,5,8,32,29,14.0
2024-03-17,6,9,32,29,15.0
2024-03-30,5,10,34,30,28.0
2024-03-31,6,11,34,30,29.0
2024-04-02,1,12,34,31,31.0
2024-04-03,2,13,34,31,32.0
2024-04-04,3,14,34,31,33.0
2024-04-06,5,15,35,32,35.0
2024-04-07,6,16,35,32,36.0
2024-04-08,0,17,35,32,37.0
2024-04-13,5,18,36,33,42.0
2024-04-14,6,19,36,33,43.0
2024-04-15,0,20,36,33,44.0
2024-04-20,5,21,37,34,49.0
2024-04-23,1,22,37,34,52.0
2024-04-27,5,23,38,35,56.0
2024-04-30,1,24,38,35,59.0
2024-05-04,5,25,39,36,63.0
2024-05-07,1,26,39,36,66.0
2024-05-11,5,27,40,37,70.0
2024-05-14,1,28,40,37,73.0
2024-05-19,6,29,41,38,78.0
