,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,0.0,8.26,0.0,7.44,0.0,0.0,0.0,7.56,0.0,0.0,5.72,0.0,0.0,0.0,0.4,0.0,5.68,0.0,6.81,6.55,8.76,2.18,5.37,7.32,0.0,8.3,0.0,7.06,5.52,8.18,101.10999999999999
1,397,Cole Palmer,CHE,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,4.72,0.0,0.67,0.0,5.16,0.0,0.0,4.7,4.76,5.07,1.32,4.04,3.74,0.47,5.59,1.3,4.66,3.61,5.23,59.42
2,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,0.0,0.0,6.17,0.0,0.0,4.77,0.0,0.0,0.0,5.77,0.0,0.0,0.0,4.75,5.64,0.0,0.0,3.19,5.49,3.55,4.18,0.54,5.37,0.0,4.21,0.0,4.77,1.25,4.27,63.91999999999999
3,13,William Saliba,ARS,DEF,9.0,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,6.38,5.52,0.0,0.0,0.0,0.96,0.0,0.0,2.46,6.38,0.0,3.88,4.41,4.2,3.58,3.19,0.0,5.8,0.0,4.29,1.33,6.11,63.54999999999999
4,398,Rodri,MCI,MID,9.4,0.0,0.0,6.38,0.0,6.13,0.0,0.0,0.0,6.02,0.0,0.0,4.57,0.0,0.0,0.0,0.33,0.0,4.74,0.0,5.17,5.83,6.09,1.52,4.2,5.93,0.0,6.37,0.0,5.81,4.45,6.59,80.13000000000001
5,369,Virgil van Dijk,LIV,DEF,9.9,0.0,0.0,0.0,7.32,0.0,0.0,0.0,6.32,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.82,0.0,4.97,0.0,6.86,4.83,6.59,2.14,4.86,5.91,0.0,4.39,0.0,4.18,3.19,6.53,72.34
6,72,Pascal Groß,BHA,MID,8.2,7.35,0.0,0.0,0.0,7.35,0.0,0.0,6.1,0.0,0.0,0.0,6.49,0.0,0.0,0.0,0.26,0.0,3.98,5.58,0.0,4.52,5.92,1.82,3.39,5.78,0.0,4.89,0.0,5.32,4.05,5.91,78.71
7,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,5.49,5.27,0.0,0.0,0.0,1.12,0.0,0.0,3.4,6.3,0.0,4.63,5.27,3.93,4.25,4.82,0.0,6.18,0.0,4.61,1.32,5.87,67.91
8,394,Kevin De Bruyne,MCI,MID,10.9,0.0,0.0,5.28,0.0,4.87,0.0,0.0,0.0,4.83,0.0,0.0,3.23,0.0,0.0,0.0,0.25,0.0,3.31,0.0,3.76,4.7,5.15,1.17,3.11,4.78,0.0,5.02,0.0,4.15,3.07,5.58,62.260000000000005
9,383,Phil Foden,MCI,MID,9.5,0.0,0.0,5.43,0.0,4.55,0.0,0.0,0.0,4.55,0.0,0.0,3.64,0.0,0.0,0.0,0.25,0.0,3.51,0.0,3.95,4.34,5.13,1.29,3.24,4.65,0.0,5.06,0.0,4.31,3.36,5.44,62.7
10,373,Ederson,MCI,GK,7.8,0.0,0.0,5.6,0.0,5.14,0.0,0.0,0.0,5.06,0.0,0.0,3.86,0.0,0.0,0.0,0.28,0.0,4.3,0.0,4.85,5.77,6.22,1.38,3.8,5.75,0.0,6.06,0.0,5.19,3.76,6.1,73.11999999999999
11,1256,Jan Paul van Hecke,BHA,DEF,6.7,5.99,0.0,0.0,0.0,5.62,0.0,0.0,4.52,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.16,0.0,2.09,4.28,0.0,3.04,5.24,1.32,2.18,4.94,0.0,3.99,0.0,3.76,3.03,4.71,60.39
12,3212,Pedro Porro,TOT,DEF,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.0,0.0,0.0,3.69,0.0,0.0,4.17,0.0,6.33,0.0,5.26,0.0,6.21,3.52,0.86,1.37,3.45,0.37,2.52,0.99,6.57,2.42,6.18,58.84
13,100,Lewis Dunk,BHA,DEF,8.3,6.76,0.0,0.0,0.0,6.26,0.0,0.0,5.38,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.22,0.0,2.98,5.1,0.0,3.99,6.1,1.69,3.01,5.43,0.0,4.9,0.0,4.36,3.71,5.37,71.64
14,884,Ivan Toney,BRE,FOR,8.7,0.0,0.0,3.6,0.0,0.0,0.0,4.98,5.22,0.0,0.0,3.48,0.0,0.0,0.0,4.56,0.0,4.87,0.0,4.98,0.0,4.11,5.95,4.64,0.1,4.56,0.0,5.4,0.0,4.79,0.15,4.92,66.31
15,1320,Julián Álvarez,MCI,FOR,8.6,0.0,0.0,3.81,0.0,3.44,0.0,0.0,0.0,3.5,0.0,0.0,2.89,0.0,0.0,0.0,0.19,0.0,2.92,0.0,3.28,3.32,4.25,1.09,2.73,3.64,0.0,4.03,0.0,3.55,2.8,4.01,49.449999999999996
16,633,Diogo Jota,LIV,MID,9.1,0.0,0.0,0.0,5.19,0.0,0.0,0.0,3.68,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.52,0.0,3.65,0.0,4.38,3.54,3.91,1.47,3.04,3.63,0.0,4.03,0.0,3.21,2.11,4.18,49.25000000000001
