unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-09-30,5,1,8,7,0.0
2023-10-01,6,2,8,7,1.0
2023-10-02,0,3,8,7,2.0
2023-10-03,1,4,8,7,3.0
2023-10-07,5,5,9,8,7.0
2023-10-08,6,6,9,8,8.0
2023-10-21,5,7,11,9,21.0
2023-10-22,6,8,11,9,22.0
2023-10-23,0,9,11,9,23.0
2023-10-27,4,10,12,10,27.0
2023-10-28,5,11,12,10,28.0
2023-10-29,6,12,12,10,29.0
2023-11-04,5,13,13,11,35.0
2023-11-05,6,14,13,11,36.0
2023-11-06,0,15,13,11,37.0
2023-11-11,5,16,14,12,42.0
2023-11-12,6,17,14,12,43.0
2023-11-25,5,18,16,13,56.0
2023-12-02,5,19,17,14,63.0
2023-12-05,1,20,17,15,66.0
2023-12-06,2,21,17,15,67.0
2023-12-09,5,22,18,16,70.0
2023-12-16,5,23,19,17,77.0
2023-12-23,5,24,20,18,84.0
2023-12-26,1,25,20,19,87.0
2023-12-30,5,26,21,20,91.0
2024-01-13,5,27,23,21,105.0
2024-01-30,1,28,25,22,122.0
2024-01-31,2,29,25,22,123.0
2024-02-03,5,30,26,23,126.0
2024-02-10,5,31,27,24,133.0
2024-02-17,5,32,28,25,140.0
2024-02-24,5,33,29,26,147.0
2024-03-02,5,34,30,27,154.0
2024-03-09,5,35,31,28,161.0
2024-03-16,5,36,32,29,168.0
2024-03-30,5,37,34,30,182.0
2024-04-02,1,38,34,31,185.0
2024-04-03,2,39,34,31,186.0
2024-04-06,5,40,35,32,189.0
2024-04-13,5,41,36,33,196.0
2024-04-20,5,42,37,34,203.0
2024-04-27,5,43,38,35,210.0
2024-05-04,5,44,39,36,217.0
2024-05-11,5,45,40,37,224.0
2024-05-19,6,46,41,38,232.0
