,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,9.62,0.0,0.0,9.62
1,351,Mohamed Salah,LIV,MID,11.5,0.0,6.78,0.0,6.78
2,21,Bukayo Saka,ARS,MID,10.4,4.35,0.0,0.0,4.35
3,1175,Kieran Trippier,NEW,DEF,9.1,5.11,0.0,0.0,5.11
4,645,Ollie Watkins,AVL,FOR,9.3,0.0,5.78,0.0,5.78
5,525,Son Heung-min,TOT,MID,9.7,0.0,0.0,5.66,5.66
6,327,James Maddison,TOT,MID,9.3,0.0,0.0,5.0,5.0
7,13,William Saliba,ARS,DEF,9.0,3.72,0.0,0.0,3.72
8,373,Ederson,MCI,GK,7.8,6.0,0.0,0.0,6.0
9,1072,Cristian Romero,TOT,DEF,7.9,0.0,0.0,4.92,4.92
10,400,Kyle Walker,MCI,DEF,8.6,4.84,0.0,0.0,4.84
11,610,Jarrod Bowen,WHU,MID,8.8,3.59,0.0,0.0,3.59
12,417,Marcus Rashford,MUN,MID,10.9,5.47,0.0,0.0,5.47
13,810,Martin Ødegaard,ARS,MID,10.3,3.73,0.0,0.0,3.73
14,1320,Julián Álvarez,MCI,FOR,8.6,5.73,0.0,0.0,5.73
15,1435,Alexander Isak,NEW,FOR,9.0,4.35,0.0,0.0,4.35
16,121,Nick Pope,NEW,GK,7.6,4.49,0.0,0.0,4.49
17,1275,Darwin Núñez,LIV,FOR,9.4,0.0,2.77,0.0,2.77
18,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,7.14,0.0,7.14
19,100,Lewis Dunk,BHA,DEF,8.3,5.38,0.0,0.0,5.38
20,598,Declan Rice,ARS,MID,8.1,3.38,0.0,0.0,3.38
21,1260,Kaoru Mitoma,BHA,MID,8.0,4.44,0.0,0.0,4.44
22,895,Bryan Mbeumo,BRE,MID,8.3,6.17,0.0,0.0,6.17
23,710,Rúben Dias,MCI,DEF,9.7,6.7,0.0,0.0,6.7
24,35,Matty Cash,AVL,DEF,7.7,0.0,4.45,0.0,4.45
25,398,Rodri,MCI,MID,9.4,6.81,0.0,0.0,6.81
26,505,James Ward-Prowse,WHU,MID,8.4,2.9,0.0,0.0,2.9
27,412,Bruno Fernandes,MUN,MID,10.7,6.05,0.0,0.0,6.05
28,347,Alisson,LIV,GK,8.0,0.0,5.65,0.0,5.65
29,1406,Pervis Estupiñán,BHA,DEF,8.1,0.6,0.0,0.0,0.6
30,1558,André Onana,MUN,GK,7.3,4.25,0.0,0.0,4.25
31,93,Ben White,ARS,DEF,9.2,2.92,0.0,0.0,2.92
32,3421,Guglielmo Vicario,TOT,GK,7.0,0.0,0.0,4.36,4.36
33,483,Aaron Ramsdale,ARS,GK,7.5,0.3,0.0,0.0,0.3
34,383,Phil Foden,MCI,MID,9.5,3.97,0.0,0.0,3.97
35,3231,Moussa Diaby,AVL,MID,8.1,0.0,3.86,0.0,3.86
36,1097,Evan Ferguson,BHA,FOR,7.8,3.69,0.0,0.0,3.69
37,662,Callum Wilson,NEW,FOR,9.1,4.09,0.0,0.0,4.09
38,369,Virgil van Dijk,LIV,DEF,9.9,0.0,6.21,0.0,6.21
39,1197,Luis Díaz,LIV,MID,9.6,0.0,4.08,0.0,4.08
40,1439,Manuel Akanji,MCI,DEF,9.2,4.48,0.0,0.0,4.48
41,20,Gabriel Dos Santos,ARS,DEF,9.3,3.1,0.0,0.0,3.1
42,88,Alexis Mac Allister,LIV,MID,8.9,0.0,4.91,0.0,4.91
43,1359,Levi Colwill,CHE,DEF,7.5,0.0,0.0,2.99,2.99
44,3382,Dominik Szoboszlai,LIV,MID,9.0,0.0,5.01,0.0,5.01
45,387,Nathan Aké,MCI,DEF,8.9,2.7,0.0,0.0,2.7
46,8,Emiliano Martínez,AVL,GK,7.1,0.0,4.91,0.0,4.91
47,1198,Bruno Guimarães,NEW,MID,8.4,2.42,0.0,0.0,2.42
48,719,Joachim Andersen,CRY,DEF,7.8,4.67,0.0,0.0,4.67
49,376,John Stones,MCI,DEF,9.2,5.58,0.0,0.0,5.58
50,2405,Axel Disasi,CHE,DEF,8.4,0.0,0.0,2.19,2.19
51,76,Dan Burn,NEW,DEF,8.5,3.7,0.0,0.0,3.7
52,399,Raheem Sterling,CHE,MID,8.7,0.0,0.0,3.69,3.69
53,1405,Iyenoma Udogie,TOT,DEF,7.7,0.0,0.0,3.63,3.63
54,469,Fabian Schär,NEW,DEF,8.7,4.38,0.0,0.0,4.38
55,1900,Cody Gakpo,LIV,FOR,9.6,0.0,2.67,0.0,2.67
56,70,Solly March,BHA,MID,8.1,2.83,0.0,0.0,2.83
57,1364,Lisandro Martínez,MUN,DEF,8.5,0.0,0.0,0.0,0.0
58,371,Andrew Robertson,LIV,DEF,9.1,0.0,0.0,0.0,0.0
59,464,Miguel Almirón,NEW,MID,8.5,3.22,0.0,0.0,3.22
60,425,Luke Shaw,MUN,DEF,8.8,0.0,0.0,0.0,0.0
61,396,Gabriel Jesus,ARS,FOR,10.0,3.69,0.0,0.0,3.69
62,2038,Nicolas Jackson,CHE,FOR,8.2,0.0,0.0,3.35,3.35
63,167,Thiago Silva,CHE,DEF,8.5,0.0,0.0,3.8,3.8
64,394,Kevin De Bruyne,MCI,MID,10.9,0.0,0.0,0.0,0.0
65,377,Oleksandr Zinchenko,ARS,DEF,8.8,2.71,0.0,0.0,2.71
66,2079,Pau Torres,AVL,DEF,8.1,0.0,4.68,0.0,4.68
67,1283,Sven Botman,NEW,DEF,8.6,0.0,0.0,0.0,0.0
68,182,Eberechi Eze,CRY,MID,8.2,0.0,0.0,0.0,0.0
69,149,Ben Chilwell,CHE,DEF,8.5,0.0,0.0,0.0,0.0
70,42,Jack Grealish,MCI,MID,9.2,3.64,0.0,0.0,3.64
71,262,Aleksandar Mitrović,FUL,FOR,8.3,0.0,0.0,0.0,0.0
72,1411,Casemiro,MUN,MID,8.1,4.85,0.0,0.0,4.85
73,1659,Rasmus Højlund,MUN,FOR,9.1,3.98,0.0,0.0,3.98
74,1638,Joško Gvardiol,MCI,DEF,9.3,5.48,0.0,0.0,5.48
75,95,Robert Sánchez,CHE,GK,6.6,0.0,0.0,4.36,4.36
76,16,Martinelli,ARS,MID,10.2,3.38,0.0,0.0,3.38
77,1910,Micky van de Ven,TOT,DEF,7.9,0.0,0.0,3.83,3.83
78,4,Eddie Nketiah,ARS,FOR,7.6,0.72,0.0,0.0,0.72
79,975,Marc Guéhi,CRY,DEF,8.0,5.0,0.0,0.0,5.0
80,152,Mason Mount,MUN,MID,8.7,2.84,0.0,0.0,2.84
81,348,Taiwo Awoniyi,FOR,FOR,7.5,0.0,0.45,0.0,0.45
82,48,Ezri Konsa,AVL,DEF,7.9,0.0,4.07,0.0,4.07
83,3212,Pedro Porro,TOT,DEF,7.8,0.0,0.0,4.38,4.38
84,3,Bernd Leno,FUL,GK,6.8,4.55,0.0,0.0,4.55
85,1076,Yoane Wissa,BRE,MID,7.6,5.5,0.0,0.0,5.5
86,1112,Odsonne Édouard,CRY,FOR,7.0,3.47,0.0,0.0,3.47
87,230,Richarlison,TOT,FOR,8.0,0.0,0.0,3.36,3.36
88,72,Pascal Groß,BHA,MID,8.2,5.56,0.0,0.0,5.56
89,1469,Enzo Fernández,CHE,MID,8.4,0.0,0.0,4.25,4.25
90,959,João Pedro,BHA,FOR,7.7,2.95,0.0,0.0,2.95
91,1247,Dominic Solanke,BOU,FOR,7.8,3.18,0.0,0.0,3.18
92,171,Reece James,CHE,DEF,9.1,0.0,0.0,2.74,2.74
93,236,Jordan Pickford,EVE,GK,7.0,4.28,0.0,0.0,4.28
94,3412,Sandro Tonali,NEW,MID,8.2,1.89,0.0,0.0,1.89
95,46,Douglas Luiz,AVL,MID,8.0,0.0,3.54,0.0,3.54
