unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-10-21,5,1,11,9,0.0
2023-10-22,6,2,11,9,1.0
2023-10-23,0,3,11,9,2.0
2023-10-27,4,4,12,10,6.0
2023-10-28,5,5,12,10,7.0
2023-10-29,6,6,12,10,8.0
2023-11-04,5,7,13,11,14.0
2023-11-05,6,8,13,11,15.0
2023-11-06,0,9,13,11,16.0
2023-11-11,5,10,14,12,21.0
2023-11-12,6,11,14,12,22.0
2023-11-25,5,12,16,13,35.0
2023-11-26,6,13,16,13,36.0
2023-11-27,0,14,16,13,37.0
2023-12-02,5,15,17,14,42.0
2023-12-03,6,16,17,14,43.0
2023-12-05,1,17,17,15,45.0
2023-12-06,2,18,17,15,46.0
2023-12-09,5,19,18,16,49.0
2023-12-16,5,20,19,17,56.0
2023-12-23,5,21,20,18,63.0
2023-12-26,1,22,20,19,66.0
2023-12-30,5,23,21,20,70.0
2024-01-13,5,24,23,21,84.0
2024-01-30,1,25,25,22,101.0
2024-01-31,2,26,25,22,102.0
2024-02-03,5,27,26,23,105.0
2024-02-10,5,28,27,24,112.0
2024-02-17,5,29,28,25,119.0
2024-02-24,5,30,29,26,126.0
2024-03-02,5,31,30,27,133.0
2024-03-09,5,32,31,28,140.0
2024-03-16,5,33,32,29,147.0
2024-03-30,5,34,34,30,161.0
2024-04-02,1,35,34,31,164.0
2024-04-03,2,36,34,31,165.0
2024-04-06,5,37,35,32,168.0
2024-04-13,5,38,36,33,175.0
2024-04-20,5,39,37,34,182.0
2024-04-27,5,40,38,35,189.0
2024-05-04,5,41,39,36,196.0
2024-05-11,5,42,40,37,203.0
2024-05-19,6,43,41,38,211.0
