Pos,fpl_id,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,20_xMins,21_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.9,3.9,Arsenal,0,2,2,2,2,3,3,3,3,4,3,3,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,0,1,1,2,2,3,3,3,4,3,4,3,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,14,16,18,19,20,21,22,21,20,22,22,23,0.0
D,5,Gabriel,4.7,4.7,Arsenal,84,81,80,79,77,77,76,75,74,77,74,73,0.2
M,6,Havertz,7.1,7.1,Arsenal,25,30,32,34,35,34,35,39,36,38,37,37,0.0
D,7,Holding,4.4,4.4,Crystal Palace,3,5,7,8,11,8,11,11,11,11,11,10,0.0
F,8,G.Jesus,7.9,7.9,Arsenal,80,79,78,76,75,73,74,72,73,70,69,73,0.0
M,9,Jorginho,5.3,5.3,Arsenal,23,25,27,27,29,31,29,30,31,32,31,30,0.0
D,10,Kiwior,4.3,4.3,Arsenal,9,15,17,18,21,22,24,23,24,24,27,24,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,77,73,70,69,69,70,66,68,65,65,67,66,0.0
F,13,Nketiah,5.5,5.5,Arsenal,16,17,19,20,20,21,20,20,19,21,20,20,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,86,85,83,83,80,80,80,80,81,80,82,81,0.01
M,15,Thomas,4.8,4.8,Arsenal,55,53,54,53,53,53,54,53,53,53,55,54,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.8,4.8,Arsenal,6,8,11,92,10,11,15,15,16,15,14,13,0.0
