unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-08-18,4,1,2,2,0.0
2023-08-19,5,2,2,2,1.0
2023-08-20,6,3,2,2,2.0
2023-08-21,0,4,2,2,3.0
2023-08-25,4,5,3,3,7.0
2023-08-26,5,6,3,3,8.0
2023-08-27,6,7,3,3,9.0
2023-09-01,4,8,4,4,14.0
2023-09-02,5,9,4,4,15.0
2023-09-03,6,10,4,4,16.0
2023-09-16,5,11,6,5,29.0
2023-09-17,6,12,6,5,30.0
2023-09-18,0,13,6,5,31.0
2023-09-23,5,14,7,6,36.0
2023-09-24,6,15,7,6,37.0
2023-09-30,5,16,8,7,43.0
2023-10-01,6,17,8,7,44.0
2023-10-02,0,18,8,7,45.0
2023-10-07,5,19,9,8,50.0
2023-10-21,5,20,11,9,64.0
2023-10-28,5,21,12,10,71.0
2023-11-04,5,22,13,11,78.0
2023-11-11,5,23,14,12,85.0
2023-11-25,5,24,16,13,99.0
2023-12-02,5,25,17,14,106.0
2023-12-05,1,26,17,15,109.0
2023-12-06,2,27,17,15,110.0
2023-12-09,5,28,18,16,113.0
2023-12-16,5,29,19,17,120.0
2023-12-23,5,30,20,18,127.0
2023-12-26,1,31,20,19,130.0
2023-12-30,5,32,21,20,134.0
2024-01-13,5,33,23,21,148.0
2024-01-30,1,34,25,22,165.0
2024-01-31,2,35,25,22,166.0
2024-02-03,5,36,26,23,169.0
2024-02-10,5,37,27,24,176.0
2024-02-17,5,38,28,25,183.0
2024-02-24,5,39,29,26,190.0
2024-03-02,5,40,30,27,197.0
2024-03-09,5,41,31,28,204.0
2024-03-16,5,42,32,29,211.0
2024-03-30,5,43,34,30,225.0
2024-04-02,1,44,34,31,228.0
2024-04-03,2,45,34,31,229.0
2024-04-06,5,46,35,32,232.0
2024-04-13,5,47,36,33,239.0
2024-04-20,5,48,37,34,246.0
2024-04-27,5,49,38,35,253.0
2024-05-04,5,50,39,36,260.0
2024-05-11,5,51,40,37,267.0
2024-05-19,6,52,41,38,275.0
