,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,Total_Pts
502,3392,Louie Watson,LUT,MID,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,2122,Anis Ben Slimane,SHU,MID,7.0,0.5,0.0,0.0,0.76,0.0,0.76,0.0,0.0,0.69,0.0,0.0,0.69,0.0,0.0,0.83,0.0,0.0,0.77,0.0,0.0,0.0,5.0
504,640,Adama Traoré,FUL,MID,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,3460,Jacob Bruun Larsen,BUR,MID,7.0,0.94,0.0,0.73,0.0,0.0,0.68,0.0,0.0,0.88,0.0,0.0,0.0,0.72,0.0,0.81,0.0,0.0,0.64,0.0,0.0,0.0,5.3999999999999995
506,739,Karl Jakob Hein,ARS,GK,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,443,Isaac Hayden,NEW,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,198,Jaïro Riedewald,CRY,MID,6.6,0.0,0.42,0.0,0.49,0.0,0.47,0.0,0.0,0.41,0.0,0.48,0.0,0.0,0.0,0.0,0.55,0.0,0.59,0.0,0.0,0.0,3.4099999999999993
509,3478,Wilson Odobert,BUR,FOR,6.5,0.58,0.0,0.43,0.0,0.0,0.45,0.0,0.0,0.52,0.0,0.0,0.0,0.44,0.0,0.5,0.0,0.0,0.45,0.0,0.0,0.0,3.37
510,966,Konstantinos Mavropanos,WHU,DEF,7.3,0.0,0.43,0.0,0.0,0.35,0.0,0.51,0.0,0.0,0.71,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.53,3.5300000000000002
511,3431,Yasser Larouci,SHU,DEF,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
