unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-02-18,6,1,28,25,0.0
2024-02-19,0,2,28,25,1.0
2024-02-20,1,3,28,25,2.0
2024-02-21,2,4,28,25,3.0
2024-02-24,5,5,29,26,6.0
2024-02-25,6,6,29,26,7.0
2024-02-26,0,7,29,26,8.0
2024-03-02,5,8,30,27,13.0
2024-03-03,6,9,30,27,14.0
2024-03-04,0,10,30,27,15.0
2024-03-09,5,11,31,28,20.0
2024-03-10,6,12,31,28,21.0
2024-03-11,0,13,31,28,22.0
2024-03-13,2,14,31,28,24.0
2024-03-16,5,15,32,29,27.0
2024-03-17,6,16,32,29,28.0
2024-03-30,5,17,34,30,41.0
2024-03-31,6,18,34,30,42.0
2024-04-02,1,19,34,31,44.0
2024-04-03,2,20,34,31,45.0
2024-04-06,5,21,35,32,48.0
2024-04-13,5,22,36,33,55.0
2024-04-20,5,23,37,34,62.0
2024-04-23,1,24,37,34,65.0
2024-04-27,5,25,38,35,69.0
2024-04-30,1,26,38,35,72.0
2024-05-04,5,27,39,36,76.0
2024-05-07,1,28,39,36,79.0
2024-05-11,5,29,40,37,83.0
2024-05-14,1,30,40,37,86.0
2024-05-19,6,31,41,38,91.0
