unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-03-10,6,1,31,28,0.0
2024-03-11,0,2,31,28,1.0
2024-03-13,2,3,31,28,3.0
2024-03-16,5,4,32,29,6.0
2024-03-17,6,5,32,29,7.0
2024-03-30,5,6,34,30,20.0
2024-03-31,6,7,34,30,21.0
2024-04-02,1,8,34,31,23.0
2024-04-03,2,9,34,31,24.0
2024-04-04,3,10,34,31,25.0
2024-04-06,5,11,35,32,27.0
2024-04-07,6,12,35,32,28.0
2024-04-08,0,13,35,32,29.0
2024-04-13,5,14,36,33,34.0
2024-04-14,6,15,36,33,35.0
2024-04-15,0,16,36,33,36.0
2024-04-20,5,17,37,34,41.0
2024-04-23,1,18,37,34,44.0
2024-04-27,5,19,38,35,48.0
2024-04-30,1,20,38,35,51.0
2024-05-04,5,21,39,36,55.0
2024-05-07,1,22,39,36,58.0
2024-05-11,5,23,40,37,62.0
2024-05-14,1,24,40,37,65.0
2024-05-19,6,25,41,38,70.0
