,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
235,370,Harvey Elliott,LIV,MID,7.5,0.0,0.0,0.81,0.0,0.0,0.76,0.0,0.82,0.0,0.0,0.0,0.0,0.75,0.0,3.14
236,368,Caoimhín Kelleher,LIV,GK,6.1,0.0,0.0,4.18,0.0,0.0,2.48,0.0,1.53,0.0,0.0,0.0,0.0,0.39,0.0,8.58
237,1199,Christian Eriksen,MUN,MID,7.9,0.0,0.0,0.28,0.0,0.0,0.65,0.0,0.77,0.0,0.0,1.16,0.0,0.0,0.0,2.8600000000000003
238,159,Jorginho,ARS,MID,7.6,0.0,0.0,1.04,0.0,0.0,1.04,0.0,0.0,0.0,1.29,0.0,1.21,0.0,0.0,4.58
239,456,Matt Ritchie,NEW,DEF,6.5,0.0,1.49,0.0,0.0,0.0,1.08,0.0,1.21,0.0,0.0,0.0,0.0,0.53,0.0,4.3100000000000005
240,101,Neal Maupay,BRE,FOR,7.3,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,4.14,0.0,3.14,0.0,0.0,0.0,10.91
241,458,Sean Longstaff,NEW,MID,7.2,0.0,1.68,0.0,0.0,0.0,2.28,0.0,2.58,0.0,0.0,0.0,0.0,2.09,0.0,8.629999999999999
242,1030,Kristoffer Ajer,BRE,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,58,Marvelous Nakamba,LUT,MID,6.6,0.0,1.85,0.0,0.0,0.0,2.57,0.0,2.35,0.0,0.0,2.67,0.0,0.0,0.0,9.44
244,1333,Cheick Doucouré,CRY,MID,6.9,0.0,2.18,0.0,2.75,0.0,0.0,0.0,0.0,2.6,0.0,2.35,0.0,0.0,0.0,9.879999999999999
245,1110,Marc Cucurella,CHE,DEF,8.3,0.0,2.08,0.0,0.0,0.0,0.0,1.28,0.0,1.38,0.0,1.25,0.0,0.0,0.0,5.99
246,127,Jay Rodriguez,BUR,FOR,6.8,0.0,2.87,0.0,0.0,0.0,1.89,0.0,2.16,0.0,0.0,1.68,0.0,0.0,0.0,8.6
247,445,Jacob Murphy,NEW,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1109,Takehiro Tomiyasu,ARS,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1400,Amadou Onana,EVE,MID,7.4,0.0,2.01,0.0,0.0,0.0,2.18,0.0,0.0,1.87,0.0,2.09,0.0,0.0,0.0,8.149999999999999
250,3383,Elijah Adebayo,LUT,FOR,6.9,0.0,1.24,0.0,0.0,0.0,1.1,0.0,1.26,0.0,0.0,1.22,0.0,0.0,0.0,4.819999999999999
251,367,Harry Wilson,FUL,MID,7.4,0.0,2.14,0.0,0.0,0.0,2.49,0.0,2.42,0.0,0.0,0.0,2.08,0.0,0.0,9.13
252,186,Jeffrey Schlupp,CRY,MID,7.2,0.0,1.68,0.0,1.99,0.0,0.0,0.0,0.0,1.69,0.0,1.64,0.0,0.0,0.0,6.999999999999999
253,343,Curtis Jones,LIV,MID,7.3,0.0,0.0,1.55,0.0,0.0,1.4,0.0,1.44,0.0,0.0,0.0,0.0,1.34,0.0,5.73
254,606,Angelo Ogbonna,WHU,DEF,6.9,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.26,0.8400000000000001
255,1403,Remo Freuler,FOR,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,711,Elliot Anderson,NEW,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.59,0.0,0.0,0.0,0.0,0.69,0.0,1.5299999999999998
257,206,James Tomkins,CRY,DEF,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.0,0.0,0.0,0.33999999999999997
