,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,Total_Pts
54,3,Bernd Leno,FUL,GK,6.8,5.25,0.0,4.68,0.0,0.0,3.92,0.0,0.0,0.0,4.59,0.0,0.0,3.6,0.0,0.0,0.0,5.01,0.0,4.22,0.0,3.62,0.0,4.61,39.49999999999999
55,620,Max Kilman,WOL,DEF,7.7,2.11,0.0,3.48,0.0,0.0,3.79,0.0,0.0,3.59,0.0,0.0,1.56,0.0,0.0,3.35,0.0,3.47,0.0,0.66,0.0,4.31,0.0,0.77,27.089999999999996
56,93,Ben White,ARS,DEF,9.2,0.0,2.29,0.0,5.37,0.0,3.11,0.0,0.0,0.0,3.72,0.0,3.77,0.0,3.59,0.0,0.0,0.0,2.78,4.28,0.0,3.47,0.0,4.37,36.75
57,844,Anthony Elanga,FOR,MID,7.2,3.96,0.0,4.4,0.0,0.0,0.0,0.0,3.64,4.28,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,3.22,4.03,0.0,4.09,0.0,3.73,34.95
58,1215,Alejandro Garnacho,MUN,MID,7.5,3.88,0.0,0.0,0.0,3.72,0.0,4.28,0.0,4.09,0.0,0.0,0.0,0.0,0.0,5.43,0.0,5.02,0.0,3.86,0.0,3.62,4.76,3.77,42.43
59,1735,Antoine Semenyo,BOU,MID,6.6,3.47,0.0,3.27,0.0,0.0,3.16,0.0,0.0,3.28,0.0,0.0,0.0,2.78,0.0,3.04,0.0,0.0,3.21,2.34,0.0,3.37,0.0,2.81,30.73
60,376,John Stones,MCI,DEF,9.2,0.0,2.62,0.0,3.35,0.0,4.35,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,4.19,4.31,0.0,3.46,2.76,4.75,36.87
61,1266,Rodrigo Muniz,FUL,FOR,6.7,3.73,0.0,3.47,0.0,0.0,3.31,0.0,0.0,0.0,3.41,0.0,0.0,3.08,0.0,0.0,0.0,3.24,0.0,3.32,0.0,2.78,0.0,3.62,29.960000000000004
62,1197,Luis Díaz,LIV,MID,9.6,0.0,4.82,0.0,0.0,6.07,0.0,4.44,0.0,0.0,4.75,0.0,0.0,4.52,0.0,4.22,0.0,4.67,0.0,5.01,0.0,4.14,0.0,5.25,47.89
63,504,Nathan Redmond,BUR,MID,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,646,Kai Havertz,ARS,MID,9.2,0.0,2.67,0.0,5.09,0.0,3.24,0.0,0.0,0.0,3.78,0.0,3.49,0.0,3.95,0.0,0.0,0.0,3.41,4.27,0.0,3.4,0.0,4.16,37.459999999999994
65,344,Kostas Tsimikas,LIV,DEF,7.2,0.0,0.54,0.0,0.0,0.7,0.0,0.46,0.0,0.0,0.53,0.0,0.0,0.46,0.0,0.44,0.0,0.47,0.0,0.42,0.0,0.46,0.0,0.6,5.079999999999999
66,224,Anthony Gordon,NEW,MID,7.8,5.54,0.0,5.14,0.0,0.0,3.84,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,3.51,0.0,5.42,0.0,4.2,0.0,4.6,3.97,3.84,44.83
67,104,James Tarkowski,EVE,DEF,7.8,2.96,0.0,2.08,0.0,0.0,4.04,0.0,0.0,0.0,0.0,2.2,0.0,4.09,0.0,1.81,0.0,3.14,0.0,3.74,0.0,5.16,0.0,1.38,30.6
68,1076,Yoane Wissa,BRE,MID,7.6,3.17,0.0,0.0,2.57,0.0,2.06,0.0,0.0,2.39,0.0,0.0,1.83,0.0,0.0,0.0,0.0,1.87,0.0,2.05,0.0,1.86,0.0,1.92,19.72
69,171,Reece James,CHE,DEF,9.1,0.0,0.0,0.0,0.0,0.52,0.0,0.88,0.0,0.0,0.0,2.11,0.0,0.0,1.92,0.0,0.0,2.65,0.0,3.93,3.03,3.36,2.55,3.89,24.84
70,1437,Lucas Paquetá,WHU,MID,8.0,3.78,0.0,4.01,0.0,0.0,3.63,0.0,0.0,0.0,4.0,0.0,0.0,3.71,0.0,0.0,0.0,3.71,0.0,3.6,0.0,4.55,0.0,2.85,33.84
71,392,Bernardo Silva,MCI,MID,8.3,0.0,2.38,0.0,3.14,0.0,3.54,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,3.55,3.67,0.0,3.01,2.85,4.12,32.55
72,505,James Ward-Prowse,WHU,MID,8.4,3.78,0.0,4.12,0.0,0.0,3.89,0.0,0.0,0.0,4.44,0.0,0.0,4.3,0.0,0.0,0.0,3.76,0.0,3.55,0.0,4.8,0.0,2.93,35.57
73,531,Pierre Højbjerg,TOT,MID,8.1,0.52,0.0,0.47,0.0,0.0,0.0,0.0,0.52,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.54,0.57,0.62,0.54,0.64,5.4799999999999995
74,1069,Leon Bailey,AVL,MID,7.8,4.14,0.0,0.0,2.53,0.0,3.88,0.0,0.0,0.0,2.49,0.0,0.0,4.2,0.0,0.0,0.0,3.65,0.0,3.12,0.0,3.41,0.0,3.08,30.5
75,724,Rayan Aït Nouri,WOL,DEF,7.2,2.36,0.0,3.18,0.0,0.0,3.61,0.0,0.0,2.96,0.0,0.0,1.98,0.0,0.0,3.55,0.0,3.75,0.0,1.08,0.0,3.78,0.0,1.42,27.67
76,396,Gabriel Jesus,ARS,FOR,10.0,0.0,1.47,0.0,3.42,0.0,2.82,0.0,0.0,0.0,3.66,0.0,3.68,0.0,4.22,0.0,0.0,0.0,3.85,5.12,0.0,3.93,0.0,4.83,37.0
77,2038,Nicolas Jackson,CHE,FOR,8.2,4.52,0.0,0.0,0.0,3.37,0.0,3.58,0.0,0.0,0.0,3.89,0.0,0.0,2.7,0.0,0.0,3.46,0.0,4.75,4.48,3.96,3.58,4.7,42.99
78,1168,Vitaliy Mykolenko,EVE,DEF,7.6,3.15,0.0,2.28,0.0,0.0,3.8,0.0,0.0,0.0,0.0,2.47,0.0,3.69,0.0,2.09,0.0,2.99,0.0,3.72,0.0,4.61,0.0,1.72,30.519999999999996
