unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-12-02,5,1,17,14,0.0
2023-12-03,6,2,17,14,1.0
2023-12-05,1,3,17,15,3.0
2023-12-06,2,4,17,15,4.0
2023-12-07,3,5,17,15,5.0
2023-12-09,5,6,18,16,7.0
2023-12-10,6,7,18,16,8.0
2023-12-15,4,8,19,17,13.0
2023-12-16,5,9,19,17,14.0
2023-12-17,6,10,19,17,15.0
2023-12-21,3,11,19,17,19.0
2023-12-22,4,12,20,18,20.0
2023-12-23,5,13,20,18,21.0
2023-12-24,6,14,20,18,22.0
2023-12-26,1,15,20,19,24.0
2023-12-27,2,16,20,19,25.0
2023-12-28,3,17,20,19,26.0
2023-12-30,5,18,21,20,28.0
2023-12-31,6,19,21,20,29.0
2024-01-01,0,20,21,20,30.0
2024-01-02,1,21,21,20,31.0
2024-01-13,5,22,23,21,42.0
2024-01-14,6,23,23,21,43.0
2024-01-15,0,24,23,21,44.0
2024-01-20,5,25,24,21,49.0
2024-01-21,6,26,24,21,50.0
2024-01-22,0,27,24,21,51.0
2024-01-30,1,28,25,22,59.0
2024-01-31,2,29,25,22,60.0
2024-02-03,5,30,26,23,63.0
2024-02-10,5,31,27,24,70.0
2024-02-17,5,32,28,25,77.0
2024-02-24,5,33,29,26,84.0
2024-03-02,5,34,30,27,91.0
2024-03-09,5,35,31,28,98.0
2024-03-16,5,36,32,29,105.0
2024-03-30,5,37,34,30,119.0
2024-04-02,1,38,34,31,122.0
2024-04-03,2,39,34,31,123.0
2024-04-06,5,40,35,32,126.0
2024-04-13,5,41,36,33,133.0
2024-04-20,5,42,37,34,140.0
2024-04-27,5,43,38,35,147.0
2024-05-04,5,44,39,36,154.0
2024-05-11,5,45,40,37,161.0
2024-05-19,6,46,41,38,169.0
