,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,0.0,6.94,9.62,0.0,0.0,0.0,6.21,7.21,0.0,0.0,0.0,7.43,0.0,6.09,0.0,0.0,7.69,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,6.93,0.0,8.7,0.0,0.0,3.68,5.44,83.34
1,351,Mohamed Salah,LIV,MID,11.5,0.0,0.0,8.07,0.0,6.78,0.0,0.0,6.93,4.37,0.0,0.0,0.0,7.54,0.0,7.04,0.0,5.7,0.0,0.0,0.0,6.21,0.0,0.0,5.46,0.0,6.13,0.0,0.0,0.0,0.0,5.86,0.0,0.0,70.09
2,21,Bukayo Saka,ARS,MID,10.4,0.0,6.91,0.0,4.35,0.0,0.0,5.85,0.0,4.27,0.0,0.0,6.22,0.0,5.23,0.0,0.0,4.27,0.0,0.0,0.0,5.29,0.0,0.0,4.24,0.0,0.0,0.0,5.86,0.0,4.97,0.0,0.0,0.0,57.459999999999994
3,1175,Kieran Trippier,NEW,DEF,9.1,0.0,6.63,0.0,5.11,0.0,0.0,6.56,0.0,6.01,0.0,0.0,6.04,0.0,0.0,0.0,6.25,0.0,4.28,0.0,7.14,0.0,0.0,0.0,6.9,0.0,7.66,0.0,0.0,0.0,0.0,3.8,0.0,4.39,70.77
4,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,7.74,0.0,6.07,0.0,0.0,7.52,0.0,5.41,0.0,0.0,6.34,0.0,4.47,0.0,5.39,0.0,0.0,0.0,5.16,0.0,7.95,0.0,0.0,4.86,0.0,0.0,6.81,0.0,0.0,0.0,0.0,67.72
5,525,Son Heung-min,TOT,MID,9.7,5.22,0.0,0.0,0.0,0.0,5.94,5.96,0.0,0.0,5.87,0.0,0.0,3.65,0.0,0.0,6.35,0.0,4.97,5.65,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,5.0,0.0,7.15,0.0,0.0,0.0,61.99
6,327,James Maddison,TOT,MID,9.3,5.87,0.0,0.0,0.0,0.0,5.25,5.31,0.0,0.0,4.9,0.0,0.0,3.08,0.0,0.0,6.29,0.0,4.23,5.34,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,3.91,0.0,6.16,0.0,0.0,0.0,55.83999999999999
7,13,William Saliba,ARS,DEF,9.0,0.0,6.85,0.0,3.72,0.0,0.0,6.37,0.0,4.58,0.0,0.0,6.21,0.0,5.86,0.0,0.0,3.78,0.0,0.0,0.0,4.37,0.0,0.0,2.99,0.0,0.0,0.0,5.75,0.0,4.85,0.0,0.0,0.0,55.330000000000005
8,373,Ederson,MCI,GK,7.8,0.0,0.0,4.73,5.98,0.0,0.0,0.0,4.47,4.48,0.0,0.0,0.0,4.8,0.0,4.61,0.0,0.0,6.36,0.0,6.28,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,6.35,0.0,0.0,2.75,4.23,60.5
9,1072,Cristian Romero,TOT,DEF,7.9,6.16,0.0,0.0,0.0,0.0,5.16,5.6,0.0,0.0,4.92,0.0,0.0,2.23,0.0,0.0,5.58,0.0,4.06,5.31,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,2.98,0.0,5.94,0.0,0.0,0.0,53.39000000000001
