,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,Total_Pts
101,559,Hugo Lloris,TOT,GK,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1249,Kieffer Moore,BOU,FOR,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,633,Diogo Jota,LIV,MID,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,3411,Issa Kaboré,LUT,DEF,7.0,0.9,0.0,0.0,0.92,0.0,0.0,0.91,1.22,0.0,0.66,0.0,0.0,0.54,0.0,1.13,0.0,0.0,0.0,0.0,0.0,1.04,0.0,1.17,0.0,1.2,0.0,1.03,0.0,1.22,11.94
105,121,Nick Pope,NEW,GK,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.99,0.0,0.0,1.39,0.0,0.0,3.29,0.0,0.0,2.0,3.33,5.18,0.0,4.15,0.0,4.11,2.21,3.54,30.479999999999997
106,828,Carney Chukwuemeka,CHE,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.4,0.0,0.55,0.0,0.0,0.0,0.8,0.15,0.59,0.57,0.25,0.72,0.25,0.63,0.62,0.71,6.499999999999999
107,1080,Romelu Lukaku,CHE,FOR,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,427,Scott McTominay,MUN,MID,6.8,0.0,0.78,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.83,0.0,0.85,0.0,0.0,0.81,0.0,0.51,0.79,0.85,0.0,0.68,0.0,0.69,0.54,0.63,10.37
109,85,Leandro Trossard,ARS,MID,8.7,0.0,0.0,3.29,2.72,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,3.11,0.0,2.09,0.0,0.0,2.22,0.0,0.0,0.55,2.44,2.27,0.0,2.83,0.0,2.11,1.75,2.63,29.73
110,1234,Jaidon Anthony,BOU,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
