,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,Total_Pts
306,1735,Antoine Semenyo,BOU,MID,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.74,0.0,2.07,0.0,0.0,2.56,0.0,0.0,0.0,2.49,0.0,0.0,3.06,3.77,3.1,3.49,3.24,0.0,25.860000000000007
307,481,Sander Berge,BUR,MID,7.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,2.12,0.0,2.54,0.0,0.0,2.24,0.0,0.0,2.25,0.0,0.0,0.0,2.39,0.0,0.0,2.68,2.48,2.39,2.4,2.63,0.0,27.4
308,255,Mario Lemina,WOL,MID,7.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,2.78,0.0,2.75,0.0,2.35,0.0,0.0,2.35,0.0,0.0,0.0,0.0,2.66,0.0,2.19,2.4,2.6,2.26,2.09,0.0,27.290000000000003
309,3269,Auston Trusty,SHU,DEF,6.5,0.0,0.0,0.0,0.0,2.78,0.0,1.8,0.0,0.0,2.26,0.0,0.0,2.39,0.0,0.0,0.0,1.99,0.0,0.0,0.0,2.09,0.0,1.69,1.81,1.08,2.56,0.0,0.54,20.99
310,2319,Ben Doak,LIV,FOR,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,1378,Harry Toffolo,FOR,DEF,6.6,0.0,0.0,0.0,1.89,0.0,0.0,2.02,0.0,0.0,0.0,2.36,0.0,1.88,0.0,0.0,2.26,0.0,0.0,0.0,1.56,0.0,0.0,1.62,1.42,2.47,2.51,2.26,0.0,22.25
312,658,Timothy Castagne,FUL,DEF,7.7,2.22,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,3.4,0.0,0.0,3.23,0.0,0.0,2.4,0.0,0.0,0.0,2.26,0.0,0.0,2.38,3.14,2.16,3.82,3.3,0.0,32.05
313,1383,Manor Solomon,TOT,MID,7.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,2.21,0.0,1.68,0.0,0.0,1.35,0.0,0.0,1.15,0.0,0.0,0.94,0.0,0.0,0.0,1.09,0.86,0.91,1.15,1.01,0.0,12.86
314,172,Ross Barkley,LUT,MID,7.2,0.0,0.0,3.07,0.0,0.0,0.0,2.85,0.0,0.0,2.44,0.0,0.0,3.55,0.0,0.0,0.0,2.78,0.0,0.0,2.33,0.0,0.0,2.52,2.37,2.62,2.29,2.3,0.0,29.12
315,1438,Sasa Kalajdzic,WOL,FOR,6.7,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,2.83,0.0,1.75,0.0,1.48,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.36,0.0,1.01,1.26,1.34,1.09,1.27,0.0,17.34
316,120,Charlie Taylor,BUR,DEF,6.8,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.01,0.0,3.12,0.0,0.0,0.57,0.0,0.0,1.84,0.0,0.0,0.0,2.22,0.0,0.0,3.27,2.09,2.69,1.21,3.49,0.0,25.160000000000004
317,3403,Amari'i Bell,LUT,DEF,7.1,0.0,0.0,2.73,0.0,0.0,0.0,2.05,0.0,0.0,1.24,0.0,0.0,3.46,0.0,0.0,0.0,2.11,0.0,0.0,1.04,0.0,0.0,2.5,2.46,2.99,1.34,1.11,0.0,23.029999999999998
318,1047,Armando Broja,CHE,FOR,7.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,1.17,0.0,0.0,0.0,0.75,0.55,0.0,0.0,0.77,0.0,0.0,0.0,0.71,0.74,0.57,0.87,0.0,0.86,9.52
319,3439,Milos Kerkez,BOU,DEF,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.47,0.0,0.64,0.0,0.0,0.7,0.0,0.0,0.0,0.68,0.0,0.0,1.18,1.52,1.18,1.24,1.33,0.0,9.1
