unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-02-03,5,1,26,23,0.0
2024-02-04,6,2,26,23,1.0
2024-02-05,0,3,26,23,2.0
2024-02-10,5,4,27,24,7.0
2024-02-11,6,5,27,24,8.0
2024-02-12,0,6,27,24,9.0
2024-02-17,5,7,28,25,14.0
2024-02-18,6,8,28,25,15.0
2024-02-19,0,9,28,25,16.0
2024-02-20,1,10,28,25,17.0
2024-02-21,2,11,28,25,18.0
2024-02-24,5,12,29,26,21.0
2024-02-25,6,13,29,26,22.0
2024-02-26,0,14,29,26,23.0
2024-03-02,5,15,30,27,28.0
2024-03-03,6,16,30,27,29.0
2024-03-04,0,17,30,27,30.0
2024-03-05,1,18,30,27,31.0
2024-03-09,5,19,31,28,35.0
2024-03-12,1,20,31,28,38.0
2024-03-15,4,21,32,29,41.0
2024-03-16,5,22,32,29,42.0
2024-03-17,6,23,32,29,43.0
2024-03-30,5,24,34,30,56.0
2024-04-02,1,25,34,31,59.0
2024-04-03,2,26,34,31,60.0
2024-04-06,5,27,35,32,63.0
2024-04-09,1,28,35,32,66.0
2024-04-13,5,29,36,33,70.0
2024-04-20,5,30,37,34,77.0
2024-04-23,1,31,37,34,80.0
2024-04-27,5,32,38,35,84.0
2024-05-04,5,33,39,36,91.0
2024-05-11,5,34,40,37,98.0
2024-05-14,1,35,40,37,101.0
2024-05-19,6,36,41,38,106.0
