unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-09-23,5,1,7,6,0.0
2023-09-24,6,2,7,6,1.0
2023-09-30,5,3,8,7,7.0
2023-10-01,6,4,8,7,8.0
2023-10-02,0,5,8,7,9.0
2023-10-03,1,6,8,7,10.0
2023-10-07,5,7,9,8,14.0
2023-10-08,6,8,9,8,15.0
2023-10-21,5,9,11,9,28.0
2023-10-22,6,10,11,9,29.0
2023-10-23,0,11,11,9,30.0
2023-10-27,4,12,12,10,34.0
2023-10-28,5,13,12,10,35.0
2023-10-29,6,14,12,10,36.0
2023-11-04,5,15,13,11,42.0
2023-11-05,6,16,13,11,43.0
2023-11-06,0,17,13,11,44.0
2023-11-11,5,18,14,12,49.0
2023-11-12,6,19,14,12,50.0
2023-11-25,5,20,16,13,63.0
2023-12-02,5,21,17,14,70.0
2023-12-05,1,22,17,15,73.0
2023-12-06,2,23,17,15,74.0
2023-12-09,5,24,18,16,77.0
2023-12-16,5,25,19,17,84.0
2023-12-23,5,26,20,18,91.0
2023-12-26,1,27,20,19,94.0
2023-12-30,5,28,21,20,98.0
2024-01-13,5,29,23,21,112.0
2024-01-30,1,30,25,22,129.0
2024-01-31,2,31,25,22,130.0
2024-02-03,5,32,26,23,133.0
2024-02-10,5,33,27,24,140.0
2024-02-17,5,34,28,25,147.0
2024-02-24,5,35,29,26,154.0
2024-03-02,5,36,30,27,161.0
2024-03-09,5,37,31,28,168.0
2024-03-16,5,38,32,29,175.0
2024-03-30,5,39,34,30,189.0
2024-04-02,1,40,34,31,192.0
2024-04-03,2,41,34,31,193.0
2024-04-06,5,42,35,32,196.0
2024-04-13,5,43,36,33,203.0
2024-04-20,5,44,37,34,210.0
2024-04-27,5,45,38,35,217.0
2024-05-04,5,46,39,36,224.0
2024-05-11,5,47,40,37,231.0
2024-05-19,6,48,41,38,239.0
