unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-01-30,1,1,25,22,0.0
2024-01-31,2,2,25,22,1.0
2024-02-01,3,3,25,22,2.0
2024-02-03,5,4,26,23,4.0
2024-02-04,6,5,26,23,5.0
2024-02-05,0,6,26,23,6.0
2024-02-10,5,7,27,24,11.0
2024-02-11,6,8,27,24,12.0
2024-02-12,0,9,27,24,13.0
2024-02-17,5,10,28,25,18.0
2024-02-18,6,11,28,25,19.0
2024-02-19,0,12,28,25,20.0
2024-02-20,1,13,28,25,21.0
2024-02-24,5,14,29,26,25.0
2024-02-25,6,15,29,26,26.0
2024-02-26,0,16,29,26,27.0
2024-03-02,5,17,30,27,32.0
2024-03-03,6,18,30,27,33.0
2024-03-04,0,19,30,27,34.0
2024-03-05,1,20,30,27,35.0
2024-03-09,5,21,31,28,39.0
2024-03-12,1,22,31,28,42.0
2024-03-15,4,23,32,29,45.0
2024-03-16,5,24,32,29,46.0
2024-03-17,6,25,32,29,47.0
2024-03-30,5,26,34,30,60.0
2024-04-02,1,27,34,31,63.0
2024-04-03,2,28,34,31,64.0
2024-04-06,5,29,35,32,67.0
2024-04-09,1,30,35,32,70.0
2024-04-13,5,31,36,33,74.0
2024-04-20,5,32,37,34,81.0
2024-04-23,1,33,37,34,84.0
2024-04-27,5,34,38,35,88.0
2024-05-04,5,35,39,36,95.0
2024-05-11,5,36,40,37,102.0
2024-05-14,1,37,40,37,105.0
2024-05-19,6,38,41,38,110.0
