,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,Total_Pts
351,262,Aleksandar Mitrović,FUL,FOR,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,1284,Scott McKenna,FOR,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,1230,Jefferson Lerma,CRY,MID,7.0,2.64,0.0,0.0,0.0,0.0,2.88,0.0,0.0,2.96,0.0,0.0,3.31,0.0,0.0,2.54,0.0,0.0,0.0,2.93,0.0,0.0,0.51,0.0,2.69,2.69,0.0,2.18,0.0,2.42,3.43,0.26,2.58,2.7,2.74,1.8,2.54,43.80000000000001
354,360,Nathaniel Phillips,LIV,DEF,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,311,Demarai Gray,EVE,MID,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,1165,Lewis Hall,NEW,MID,6.5,0.42,0.0,0.0,0.21,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.21,0.0,0.0,0.0,0.18,0.0,0.0,0.04,0.0,0.18,0.0,0.21,0.19,0.0,0.0,0.22,0.02,0.26,0.23,0.23,0.15,0.22,3.37
357,222,Alex Iwobi,FUL,MID,7.8,0.0,0.0,0.0,0.82,0.0,0.0,3.14,0.0,0.0,0.0,0.0,3.27,0.0,0.0,3.19,0.0,0.0,0.0,3.3,0.0,3.36,0.0,0.0,3.37,3.14,0.0,3.06,0.0,3.27,1.27,0.0,3.17,2.97,2.56,1.62,3.27,44.78
358,2319,Ben Doak,LIV,FOR,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,658,Timothy Castagne,FUL,DEF,7.7,3.4,0.0,0.0,2.91,0.0,0.0,2.3,0.0,0.0,0.0,0.0,2.12,0.0,0.0,2.13,0.0,0.0,0.0,3.03,0.0,2.08,0.0,0.0,3.49,2.94,0.0,2.13,0.0,3.27,0.74,0.0,3.12,2.32,1.47,0.94,3.21,41.599999999999994
360,545,Eric Dier,TOT,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,3461,Calvin Bassey,FUL,DEF,7.5,0.0,0.0,0.0,0.83,0.0,0.0,2.94,0.0,0.0,0.0,0.0,3.36,0.0,0.0,3.31,0.0,0.0,0.0,4.73,0.0,2.71,0.0,0.0,5.44,4.59,0.0,3.25,0.0,4.78,0.81,0.0,4.88,3.74,2.02,1.03,4.84,53.260000000000005
362,511,Danny Ings,WHU,FOR,8.1,0.0,0.99,0.0,0.0,0.78,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.53,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.24,0.37,0.4,0.0,0.36,0.0,0.45,0.38,0.11,0.39,0.37,0.49,0.04,0.31,8.250000000000002
363,465,Joelinton,NEW,MID,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
