unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2024-03-30,5,1,34,30,0.0
2024-03-31,6,2,34,30,1.0
2024-04-02,1,3,34,31,3.0
2024-04-03,2,4,34,31,4.0
2024-04-04,3,5,34,31,5.0
2024-04-06,5,6,35,32,7.0
2024-04-07,6,7,35,32,8.0
2024-04-08,0,8,35,32,9.0
2024-04-13,5,9,36,33,14.0
2024-04-14,6,10,36,33,15.0
2024-04-15,0,11,36,33,16.0
2024-04-20,5,12,37,34,21.0
2024-04-21,6,13,37,34,22.0
2024-04-23,1,14,37,34,24.0
2024-04-24,2,15,37,34,25.0
2024-04-25,3,16,37,34,26.0
2024-04-27,5,17,38,35,28.0
2024-04-28,6,18,38,35,29.0
2024-05-04,5,19,39,36,35.0
2024-05-07,1,20,39,36,38.0
2024-05-11,5,21,40,37,42.0
2024-05-14,1,22,40,37,45.0
2024-05-19,6,23,41,38,50.0
