,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,6.9,0.0,0.0,0.0,0.0,8.83,0.0,8.89,0.0,7.54,0.0,0.0,9.64,0.0,7.8,0.0,0.0,0.0,6.04,7.3,0.0,0.0,0.0,0.0,6.36,9.41,6.72,7.52,8.52,6.67,0.0,8.05,116.18999999999998
1,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,0.0,5.46,0.0,6.12,0.0,0.0,0.0,5.37,4.75,0.0,0.0,0.0,5.76,5.33,0.0,0.0,0.0,3.89,4.44,0.0,0.0,0.0,5.73,0.0,4.23,5.49,4.58,5.97,5.25,0.0,4.5,76.87
2,417,Marcus Rashford,MUN,MID,10.9,0.0,5.74,0.0,0.0,0.0,7.68,0.0,0.0,0.0,4.81,6.23,0.0,0.0,5.42,0.0,6.32,0.0,0.0,6.58,0.0,0.0,5.83,0.0,0.0,0.0,4.47,5.83,7.04,5.91,4.62,0.0,6.51,8.05,91.04
3,351,Mohamed Salah,LIV,MID,11.5,0.0,9.79,0.0,0.0,0.0,0.0,5.53,0.0,0.0,7.24,7.35,0.0,0.0,0.0,8.23,6.31,0.0,0.0,0.0,6.09,8.38,0.0,0.0,0.0,0.0,8.28,7.02,7.55,4.63,8.2,7.27,0.0,6.27,108.13999999999999
4,1175,Kieran Trippier,NEW,DEF,9.1,0.0,2.01,0.0,0.0,0.0,0.0,3.95,0.0,2.92,0.0,0.0,5.51,0.0,0.0,5.07,4.92,0.0,0.0,0.0,5.13,5.56,0.0,0.0,0.0,4.55,0.0,3.51,5.36,4.57,4.66,5.07,0.0,3.8,66.59
5,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,7.77,0.0,0.0,0.0,0.0,3.51,0.0,0.0,5.4,5.84,0.0,0.0,0.0,6.69,4.28,0.0,0.0,0.0,3.49,6.33,0.0,0.0,0.0,0.0,6.52,6.15,5.51,2.29,5.76,6.03,0.0,5.6,81.16999999999999
6,1435,Alexander Isak,NEW,FOR,9.0,0.0,2.68,0.0,0.0,0.0,0.0,4.05,0.0,3.25,0.0,0.0,4.3,0.0,0.0,3.57,4.11,0.0,0.0,0.0,3.71,4.04,0.0,0.0,0.0,3.64,0.0,3.85,3.99,4.21,4.11,3.76,0.0,3.58,56.85
7,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,7.36,0.0,0.0,0.0,5.25,0.0,0.0,4.62,5.8,0.0,0.0,4.76,0.0,5.83,0.0,0.0,5.18,0.0,0.0,6.3,0.0,0.0,6.31,0.0,5.44,6.76,4.97,5.67,4.32,0.0,5.46,84.02999999999999
8,100,Lewis Dunk,BHA,DEF,8.3,0.0,6.37,0.0,0.0,0.0,6.16,0.0,0.0,4.58,0.0,4.23,0.0,0.0,0.0,6.82,4.99,0.0,0.0,0.0,4.37,2.9,0.0,0.0,0.0,0.0,5.77,6.03,6.95,6.32,4.43,5.97,0.0,5.8,81.69000000000001
9,13,William Saliba,ARS,DEF,9.0,0.0,0.0,0.0,5.48,0.0,5.53,0.0,0.0,0.0,4.52,5.13,0.0,0.0,0.0,5.06,5.27,0.0,0.0,0.0,3.03,3.26,0.0,0.0,0.0,5.92,0.0,2.98,4.85,4.39,5.8,5.29,0.0,3.83,70.33999999999999
10,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,5.59,0.0,0.0,0.0,6.04,0.0,0.0,3.55,0.0,3.24,0.0,0.0,0.0,6.39,3.78,0.0,0.0,0.0,3.28,1.65,0.0,0.0,0.0,0.0,4.6,4.95,5.78,5.54,3.3,4.98,0.0,4.65,67.32000000000001
11,1558,André Onana,MUN,GK,7.3,0.0,3.59,0.0,0.0,0.0,5.28,0.0,0.0,0.0,3.13,4.68,0.0,0.0,4.26,0.0,4.96,0.0,0.0,4.66,0.0,0.0,5.04,0.0,0.0,0.0,3.14,4.1,5.66,5.14,3.74,0.0,4.37,5.5,67.25
12,483,Aaron Ramsdale,ARS,GK,7.5,0.0,0.0,0.0,5.42,0.0,5.06,0.0,0.0,0.0,4.49,4.37,0.0,0.0,0.0,2.89,3.07,0.0,0.0,0.0,1.99,2.27,0.0,0.0,0.0,2.9,0.0,2.86,3.57,5.18,6.16,5.64,0.0,4.85,60.720000000000006
13,121,Nick Pope,NEW,GK,7.6,0.0,3.29,0.0,0.0,0.0,0.0,4.27,0.0,4.78,0.0,0.0,5.22,0.0,0.0,5.3,5.43,0.0,0.0,0.0,4.79,5.49,0.0,0.0,0.0,5.25,0.0,4.42,5.32,4.94,5.02,5.56,0.0,4.22,73.3
14,810,Martin Ødegaard,ARS,MID,10.3,0.0,0.0,0.0,4.4,0.0,5.1,0.0,0.0,0.0,4.45,4.26,0.0,0.0,0.0,5.14,4.72,0.0,0.0,0.0,3.21,3.58,0.0,0.0,0.0,4.79,0.0,3.36,4.42,3.97,5.02,4.12,0.0,3.6,64.14
