unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-12-15,4,1,19,17,0.0
2023-12-16,5,2,19,17,1.0
2023-12-17,6,3,19,17,2.0
2023-12-21,3,4,19,17,6.0
2023-12-22,4,5,20,18,7.0
2023-12-23,5,6,20,18,8.0
2023-12-24,6,7,20,18,9.0
2023-12-26,1,8,20,19,11.0
2023-12-27,2,9,20,19,12.0
2023-12-28,3,10,20,19,13.0
2023-12-30,5,11,21,20,15.0
2023-12-31,6,12,21,20,16.0
2024-01-01,0,13,21,20,17.0
2024-01-02,1,14,21,20,18.0
2024-01-13,5,15,23,21,29.0
2024-01-14,6,16,23,21,30.0
2024-01-15,0,17,23,21,31.0
2024-01-20,5,18,24,21,36.0
2024-01-21,6,19,24,21,37.0
2024-01-22,0,20,24,21,38.0
2024-01-30,1,21,25,22,46.0
2024-01-31,2,22,25,22,47.0
2024-02-03,5,23,26,23,50.0
2024-02-10,5,24,27,24,57.0
2024-02-17,5,25,28,25,64.0
2024-02-24,5,26,29,26,71.0
2024-03-02,5,27,30,27,78.0
2024-03-09,5,28,31,28,85.0
2024-03-16,5,29,32,29,92.0
2024-03-30,5,30,34,30,106.0
2024-04-02,1,31,34,31,109.0
2024-04-03,2,32,34,31,110.0
2024-04-06,5,33,35,32,113.0
2024-04-13,5,34,36,33,120.0
2024-04-20,5,35,37,34,127.0
2024-04-27,5,36,38,35,134.0
2024-05-04,5,37,39,36,141.0
2024-05-11,5,38,40,37,148.0
2024-05-19,6,39,41,38,156.0
