unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-12-27,2,1,20,19,0.0
2023-12-28,3,2,20,19,1.0
2023-12-30,5,3,21,20,3.0
2023-12-31,6,4,21,20,4.0
2024-01-01,0,5,21,20,5.0
2024-01-02,1,6,21,20,6.0
2024-01-13,5,7,23,21,17.0
2024-01-14,6,8,23,21,18.0
2024-01-15,0,9,23,21,19.0
2024-01-20,5,10,24,21,24.0
2024-01-21,6,11,24,21,25.0
2024-01-22,0,12,24,21,26.0
2024-01-30,1,13,25,22,34.0
2024-01-31,2,14,25,22,35.0
2024-02-01,3,15,25,22,36.0
2024-02-03,5,16,26,23,38.0
2024-02-04,6,17,26,23,39.0
2024-02-05,0,18,26,23,40.0
2024-02-10,5,19,27,24,45.0
2024-02-11,6,20,27,24,46.0
2024-02-12,0,21,27,24,47.0
2024-02-17,5,22,28,25,52.0
2024-02-18,6,23,28,25,53.0
2024-02-19,0,24,28,25,54.0
2024-02-23,4,25,29,26,58.0
2024-02-24,5,26,29,26,59.0
2024-02-25,6,27,29,26,60.0
2024-02-26,0,28,29,26,61.0
2024-03-02,5,29,30,27,66.0
2024-03-09,5,30,31,28,73.0
2024-03-16,5,31,32,29,80.0
2024-03-30,5,32,34,30,94.0
2024-04-02,1,33,34,31,97.0
2024-04-03,2,34,34,31,98.0
2024-04-06,5,35,35,32,101.0
2024-04-13,5,36,36,33,108.0
2024-04-20,5,37,37,34,115.0
2024-04-27,5,38,38,35,122.0
2024-05-04,5,39,39,36,129.0
2024-05-11,5,40,40,37,136.0
2024-05-19,6,41,41,38,144.0
