Pos,fpl_id,Name,BV,SV,Team,22_xMins,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,30_xMins,31_xMins,32_xMins,33_xMins,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,2,Cédric,3.9,3.9,Arsenal,8,6,5,2,2,2,2,2,1,2,1,0,0.0
M,3,M.Elneny,4.4,4.4,Arsenal,0,0,1,1,1,1,2,2,2,2,1,1,0.0
M,4,Fábio Vieira,5.4,5.4,Arsenal,0,3,7,9,9,11,11,11,11,11,11,12,0.0
D,5,Gabriel,5.0,4.9,Arsenal,67,86,84,83,81,80,81,80,80,81,78,78,0.87
M,6,Havertz,7.1,7.1,Arsenal,76,72,71,68,66,67,66,67,64,65,65,64,0.0
D,7,Holding,4.3,4.3,Crystal Palace,0,0,0,0,5,14,21,21,22,21,21,21,0.0
F,8,G.Jesus,8.0,8.0,Arsenal,76,73,70,72,72,69,70,70,70,69,68,69,0.0
M,9,Jorginho,5.3,5.3,Arsenal,37,25,21,14,16,17,16,18,16,16,16,16,0.0
D,10,Kiwior,4.3,4.3,Arsenal,42,32,31,18,20,22,22,22,20,18,17,15,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,7.7,7.7,Arsenal,68,66,64,65,64,63,63,61,62,63,63,63,0.02
F,13,Nketiah,5.2,5.2,Arsenal,20,23,24,23,23,23,26,24,23,24,24,25,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,88,84,82,82,82,81,79,80,79,79,79,79,0.06
M,15,Thomas,4.8,4.8,Arsenal,0,7,20,40,44,45,46,46,45,46,45,43,0.0
M,16,Pepe,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,4.5,4.5,Arsenal,2,3,5,4,4,6,90,7,7,7,10,8,0.0
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,19,Saka,9.1,8.8,Arsenal,88,86,84,81,80,79,78,79,81,80,80,79,0.99
D,20,Saliba,5.6,5.6,Arsenal,92,88,84,82,80,80,80,81,82,82,80,80,0.35
M,21,Sambi,4.9,4.9,Luton,82,80,78,78,0,77,76,72,63,0,64,61,0.0
M,22,Smith Rowe,5.3,5.3,Arsenal,15,13,14,13,13,14,15,14,13,15,14,13,0.0
D,23,Tavares,4.0,4.0,Nott'm Forest,0,12,20,20,20,22,21,21,24,23,23,23,0.0
D,24,Tierney,4.4,4.4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,25,Tomiyasu,4.5,4.5,Arsenal,0,5,18,59,59,57,55,57,56,55,51,49,0.0
M,26,Trossard,6.5,6.5,Arsenal,27,28,29,26,26,28,29,29,30,27,28,29,0.0
D,27,Trusty,3.9,3.9,Sheffield Utd,88,84,79,79,77,77,74,76,75,75,76,76,0.0
G,28,Turner,3.9,3.9,Nott'm Forest,94,92,92,91,91,91,91,90,91,92,91,89,0.13
D,29,White,5.6,5.6,Arsenal,88,84,79,70,69,69,68,66,65,62,60,57,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D,31,Zinchenko,5.2,5.2,Arsenal,81,74,68,54,54,55,55,54,50,49,49,41,0.09
D,32,Alex Moreno,5.1,5.1,Aston Villa,83,74,60,50,48,46,47,47,48,48,48,46,0.02
F,33,Archer,4.4,4.4,Sheffield Utd,52,49,45,47,48,47,46,47,46,46,46,44,0.21
