unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-11-11,5,1,14,12,0.0
2023-11-12,6,2,14,12,1.0
2023-11-25,5,3,16,13,14.0
2023-11-26,6,4,16,13,15.0
2023-11-27,0,5,16,13,16.0
2023-12-02,5,6,17,14,21.0
2023-12-03,6,7,17,14,22.0
2023-12-05,1,8,17,15,24.0
2023-12-06,2,9,17,15,25.0
2023-12-07,3,10,17,15,26.0
2023-12-09,5,11,18,16,28.0
2023-12-10,6,12,18,16,29.0
2023-12-15,4,13,19,17,34.0
2023-12-16,5,14,19,17,35.0
2023-12-17,6,15,19,17,36.0
2023-12-21,3,16,19,17,40.0
2023-12-22,4,17,20,18,41.0
2023-12-23,5,18,20,18,42.0
2023-12-24,6,19,20,18,43.0
2023-12-26,1,20,20,19,45.0
2023-12-27,2,21,20,19,46.0
2023-12-28,3,22,20,19,47.0
2023-12-30,5,23,21,20,49.0
2023-12-31,6,24,21,20,50.0
2024-01-01,0,25,21,20,51.0
2024-01-02,1,26,21,20,52.0
2024-01-13,5,27,23,21,63.0
2024-01-14,6,28,23,21,64.0
2024-01-15,0,29,23,21,65.0
2024-01-20,5,30,24,21,70.0
2024-01-21,6,31,24,21,71.0
2024-01-22,0,32,24,21,72.0
2024-01-30,1,33,25,22,80.0
2024-01-31,2,34,25,22,81.0
2024-02-03,5,35,26,23,84.0
2024-02-10,5,36,27,24,91.0
2024-02-17,5,37,28,25,98.0
2024-02-24,5,38,29,26,105.0
2024-03-02,5,39,30,27,112.0
2024-03-09,5,40,31,28,119.0
2024-03-16,5,41,32,29,126.0
2024-03-30,5,42,34,30,140.0
2024-04-02,1,43,34,31,143.0
2024-04-03,2,44,34,31,144.0
2024-04-06,5,45,35,32,147.0
2024-04-13,5,46,36,33,154.0
2024-04-20,5,47,37,34,161.0
2024-04-27,5,48,38,35,168.0
2024-05-04,5,49,39,36,175.0
2024-05-11,5,50,40,37,182.0
2024-05-19,6,51,41,38,190.0
