short_name,off,def
MCI,2.30,0.82
LIV,2.03,1.22
CHE,1.45,1.06
TOT,1.70,1.27
ARS,1.79,1.01
MUN,1.58,1.28
BHA,1.51,1.22
CRY,1.04,1.45
BRE,1.34,1.44
AVL,1.21,1.41
FUL,1.29,1.50
WHU,1.22,1.31
LEI,1.25,1.58
BOU,1.02,1.74
NEW,1.41,1.15
EVE,1.05,1.60
LEE,1.28,1.64
WOL,0.98,1.47
SOU,1.06,1.68
FOR,1.00,1.66
